accession	gene_symbol	gene_title	gene_id	best_probe_id	log2fc	t_stat	p_value	fdr	probe_count
GSE87466	GADL1	glutamate decarboxylase like 1	339896	1563533_PM_at	-0.212342	-5.0706	1.52637e-05	0.000128921	1
GSE87466	NEIL2	nei like DNA glycosylase 2	252969	226585_PM_at	0.400045	5.20824	1.52782e-05	0.000129024	1
GSE87466	SLC8A1	solute carrier family 8 member A1	6546	1561615_PM_s_at	1.04241	5.09886	1.53018e-05	0.000129183	11
GSE87466	MUC16	mucin 16, cell surface associated	94025	220196_PM_at	0.3554	4.60155	1.53152e-05	0.000129277	1
GSE87466	BAIAP3	BAI1 associated protein 3	8938	216356_PM_x_at	-0.420863	-5.22707	1.53462e-05	0.000129518	2
GSE87466	USP14	ubiquitin specific peptidase 14	9097	201672_PM_s_at	0.426916	5.32918	1.53751e-05	0.000129742	3
GSE87466	DGKQ	diacylglycerol kinase theta	1609	226605_PM_at	-0.78201	-5.35441	1.54496e-05	0.000130311	2
GSE87466	CLCA2	chloride channel accessory 2	9635	217528_PM_at	-0.47867	-5.15807	1.54641e-05	0.000130413	4
GSE87466	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2	8924	222461_PM_s_at	-0.248157	-5.02336	1.55172e-05	0.0001308	2
GSE87466	SULT1B1	sulfotransferase family 1B member 1	27284	207601_PM_at	-0.777098	-5.07457	1.55421e-05	0.00013099	1
GSE87466	OSBPL10	oxysterol binding protein like 10	114884	219073_PM_s_at	0.444547	5.26061	1.55933e-05	0.000131401	5
GSE87466	STYK1	serine/threonine/tyrosine kinase 1	55359	221696_PM_s_at	-0.665029	-4.82048	1.56619e-05	0.000131959	2
GSE87466	DAO	D-amino acid oxidase	1610	206878_PM_at	-1.04678	-5.4734	1.56897e-05	0.000132173	1
GSE87466	TMEM38A	transmembrane protein 38A	79041	222896_PM_at	-0.558834	-5.16671	1.57275e-05	0.000132471	1
GSE87466	TIGD7	tigger transposable element derived 7	91151	232089_PM_at	-0.351613	-5.00757	1.57542e-05	0.000132655	3
GSE87466	LBX2-AS1	LBX2 antisense RNA 1	151534	238422_PM_at	-0.605052	-5.33832	1.57677e-05	0.000132748	1
GSE87466	HOXB8	homeobox B8	3218	230114_PM_at	-0.209893	-5.05455	1.58274e-05	0.000133169	3
GSE87466	PDE4C	phosphodiesterase 4C	5143	211818_PM_s_at	-0.25232	-5.10857	1.5843e-05	0.000133279	4
GSE87466	KIF12	kinesin family member 12	113220	229258_PM_at	-0.564218	-5.19688	1.59131e-05	0.000133807	1
GSE87466	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	1555265_PM_at	-1.40586	-5.22824	1.59248e-05	0.000133885	4
GSE87466	STAT5A	signal transducer and activator of transcription 5A	6776	203010_PM_at	0.591455	5.0449	1.59598e-05	0.000134159	1
GSE87466	TNFSF13	tumor necrosis factor superfamily member 13	8741	210314_PM_x_at	0.511332	5.20524	1.60922e-05	0.000135147	2
GSE87466	CASC16	cancer susceptibility candidate 16 (non-protein coding)	643714	238211_PM_at	-0.77207	-5.26759	1.6174e-05	0.000135772	1
GSE87466	CACFD1	calcium channel flower domain containing 1	11094	61874_PM_at	-0.607957	-5.16867	1.6183e-05	0.000135826	2
GSE87466	C8orf34	chromosome 8 open reading frame 34	116328	231380_PM_at	-0.234431	-5.17777	1.62062e-05	0.000136	2
GSE87466	SENP8	SUMO/sentrin peptidase family member, NEDD8 specific	123228	228398_PM_at	-0.713266	-5.33633	1.62096e-05	0.000136008	2
GSE87466	SCN3A	sodium voltage-gated channel alpha subunit 3	6328	232512_PM_at	-0.244189	-5.04833	1.62216e-05	0.000136088	2
GSE87466	PSMB2	proteasome subunit beta 2	5690	231323_PM_at	0.952931	5.14884	1.63046e-05	0.000136633	3
GSE87466	ZKSCAN7	zinc finger with KRAB and SCAN domains 7	55888	206314_PM_at	0.760978	5.25271	1.6301e-05	0.000136633	2
GSE87466	RNF186	ring finger protein 186	54546	219739_PM_at	-0.514455	-4.61498	1.63068e-05	0.000136633	1
GSE87466	SPAG9	sperm associated antigen 9	9043	225339_PM_at	-0.376505	-5.10941	1.63057e-05	0.000136633	5
GSE87466	ALDH1B1	aldehyde dehydrogenase 1 family member B1	219	209646_PM_x_at	-0.438743	-5.1717	1.63401e-05	0.000136872	2
GSE87466	OR2A9P	olfactory receptor family 2 subfamily A member 9 pseudogene	441295	1555890_PM_at	-0.908765	-5.16778	1.63563e-05	0.000136974	3
GSE87466	EPN3	epsin 3	55040	220318_PM_at	-0.464191	-4.91578	1.63573e-05	0.000136974	2
GSE87466	GLB1L2	galactosidase beta 1 like 2	89944	213713_PM_s_at	-1.1568	-5.32426	1.63712e-05	0.00013707	1
GSE87466	SRP19	signal recognition particle 19	6728	205335_PM_s_at	0.468834	5.39286	1.64145e-05	0.000137348	1
GSE87466	LINC01579	long intergenic non-protein coding RNA 1579	283682	1562308_PM_at	-0.188269	-5.25804	1.6418e-05	0.000137356	2
GSE87466	PHF1	PHD finger protein 1	5252	202928_PM_s_at	0.553399	5.16242	1.64385e-05	0.000137465	2
GSE87466	PARP2	poly(ADP-ribose) polymerase 2	10038	214086_PM_s_at	0.491591	5.22836	1.64379e-05	0.000137465	3
GSE87466	KSR1	kinase suppressor of ras 1	8844	213769_PM_at	-0.274434	-5.05079	1.64342e-05	0.000137465	4
GSE87466	SIPA1	signal-induced proliferation-associated 1	6494	204164_PM_at	0.678802	5.07591	1.64626e-05	0.000137603	1
GSE87466	USP9X	ubiquitin specific peptidase 9, X-linked	8239	229573_PM_at	-0.561087	-5.19855	1.64898e-05	0.000137791	4
GSE87466	DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	9093	205963_PM_s_at	-0.235726	-4.82153	1.64943e-05	0.000137805	2
GSE87466	ATP5L	ATP synthase, H+ transporting, mitochondrial Fo complex subunit G	10632	208745_PM_at	-0.558119	-5.19066	1.65463e-05	0.000138218	4
GSE87466	ZNF326	zinc finger protein 326	284695	236196_PM_at	-0.685641	-5.27478	1.65498e-05	0.000138227	4
GSE87466	C1QTNF9	C1q and tumor necrosis factor related protein 9	338872	1554233_PM_at	-0.522697	-5.09917	1.65788e-05	0.000138427	1
GSE87466	SWSAP1	SWIM-type zinc finger 7 associated protein 1	126074	227352_PM_at	-0.342957	-5.23612	1.65842e-05	0.00013845	1
GSE87466	KIAA0226L	KIAA0226 like	80183	219471_PM_at	0.398027	4.89458	1.66051e-05	0.000138604	2
GSE87466	HBEGF	heparin binding EGF like growth factor	1839	38037_PM_at	0.949957	4.98308	1.66418e-05	0.000138868	4
GSE87466	CECR1	cat eye syndrome chromosome region, candidate 1	51816	219505_PM_at	0.936073	5.308	1.66599e-05	0.000138998	1
GSE87466	MED13	mediator complex subunit 13	9969	201987_PM_at	-0.264199	-5.18132	1.68669e-05	0.000140617	4
GSE87466	SKIV2L2	Ski2 like RNA helicase 2	23517	227447_PM_at	-0.292386	-5.13203	1.69148e-05	0.000140952	3
GSE87466	DDX19A	DEAD-box helicase 19A	55308	202577_PM_s_at	0.471554	5.10161	1.69617e-05	0.000141279	4
GSE87466	TMEM253	transmembrane protein 253	643382	1558594_PM_at	-0.28156	-5.16088	1.69607e-05	0.000141279	1
GSE87466	SPG20	spastic paraplegia 20 (Troyer syndrome)	23111	212526_PM_at	0.661794	5.1758	1.70195e-05	0.000141717	4
GSE87466	SAMD12	sterile alpha motif domain containing 12	401474	238673_PM_at	-0.818088	-4.98904	1.71786e-05	0.000142889	2
GSE87466	PDHX	pyruvate dehydrogenase complex component X	8050	203067_PM_at	-0.473948	-5.0755	1.71834e-05	0.000142908	1
GSE87466	COX7A2	cytochrome c oxidase subunit 7A2	1347	201597_PM_at	-0.329058	-5.12728	1.71864e-05	0.000142911	1
GSE87466	C1orf106	chromosome 1 open reading frame 106	55765	219010_PM_at	-0.575424	-4.78221	1.72451e-05	0.000143312	1
GSE87466	JAM2	junctional adhesion molecule 2	58494	219213_PM_at	0.593626	5.07146	1.73173e-05	0.000143846	2
GSE87466	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	226893_PM_at	0.38496	4.87858	1.73295e-05	0.000143926	3
GSE87466	GOLGA2P5	golgin A2 pseudogene 5	55592	232611_PM_at	-0.583023	-5.21957	1.73401e-05	0.00014397	3
GSE87466	ELK4	ELK4, ETS transcription factor	2005	225159_PM_s_at	0.543787	5.10612	1.73506e-05	0.000144036	6
GSE87466	YARS	tyrosyl-tRNA synthetase	8565	212048_PM_s_at	0.376338	5.10147	1.73917e-05	0.000144355	2
GSE87466	GPR180	G protein-coupled receptor 180	160897	231871_PM_at	0.534501	5.29038	1.74019e-05	0.000144396	6
GSE87466	PITX2	paired like homeodomain 2	5308	207558_PM_s_at	-2.77754	-5.59555	1.74215e-05	0.000144536	1
GSE87466	RORC	RAR related orphan receptor C	6097	206419_PM_at	-0.207221	-4.87165	1.74631e-05	0.00014486	2
GSE87466	LEAP2	liver enriched antimicrobial peptide 2	116842	1552362_PM_a_at	-0.921259	-5.30628	1.74907e-05	0.000144979	1
GSE87466	RPN2	ribophorin II	6185	208689_PM_s_at	0.468091	5.32267	1.74905e-05	0.000144979	3
GSE87466	DLD	dihydrolipoamide dehydrogenase	1738	230426_PM_at	-0.492784	-4.9561	1.75158e-05	0.000145165	2
GSE87466	AOX1	aldehyde oxidase 1	316	205083_PM_at	0.65376	4.58079	1.75565e-05	0.000145458	2
GSE87466	PAPSS1	3'-phosphoadenosine 5'-phosphosulfate synthase 1	9061	209043_PM_at	0.68869	5.20074	1.75904e-05	0.000145695	1
GSE87466	ABLIM3	actin binding LIM protein family member 3	22885	205730_PM_s_at	0.532819	5.07647	1.76647e-05	0.000146288	1
GSE87466	HSPA12B	heat shock protein family A (Hsp70) member 12B	116835	229172_PM_at	0.720867	5.01387	1.76721e-05	0.000146327	2
GSE87466	PRF1	perforin 1	5551	214617_PM_at	0.962085	5.17082	1.76811e-05	0.000146379	2
GSE87466	PRPS1	phosphoribosyl pyrophosphate synthetase 1	5631	208447_PM_s_at	0.443618	4.96677	1.772e-05	0.000146657	2
GSE87466	MYL10	myosin light chain 10	93408	221660_PM_at	-0.403621	-5.12043	1.77455e-05	0.000146779	2
GSE87466	UBL3	ubiquitin like 3	5412	201534_PM_s_at	-0.657149	-5.02893	1.78765e-05	0.000147729	2
GSE87466	FOXP3	forkhead box P3	50943	224211_PM_at	0.281452	4.78577	1.79032e-05	0.000147927	3
GSE87466	FBLN1	fibulin 1	2192	201787_PM_at	0.77995	5.10153	1.79094e-05	0.000147956	5
GSE87466	LOC729580	hypothetical LOC729580	729580	221953_PM_s_at	-0.432813	-4.87573	1.79216e-05	0.000148034	5
GSE87466	AAK1	AP2 associated kinase 1	22848	238100_PM_at	-0.308495	-5.09262	1.8047e-05	0.000148935	7
GSE87466	GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	284161	238681_PM_at	-0.913805	-5.24162	1.8137e-05	0.00014961	3
GSE87466	APOA1	apolipoprotein A1	335	217073_PM_x_at	-0.302433	-5.05592	1.81997e-05	0.000150082	2
GSE87466	CASS4	Cas scaffolding protein family member 4	57091	220888_PM_s_at	0.177669	4.75108	1.82251e-05	0.000150269	2
GSE87466	AGL	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	178	203566_PM_s_at	-0.35609	-4.9405	1.82306e-05	0.000150292	1
GSE87466	MAPK10	mitogen-activated protein kinase 10	5602	204813_PM_at	0.527514	5.05233	1.82829e-05	0.0001507	3
GSE87466	CTSA	cathepsin A	5476	200661_PM_at	-0.553101	-5.27006	1.83954e-05	0.000151559	1
GSE87466	KDM4B	lysine demethylase 4B	23030	212492_PM_s_at	0.508977	4.98049	1.84176e-05	0.000151718	8
GSE87466	TNRC6C-AS1	TNRC6C antisense RNA 1	100131096	239062_PM_at	0.610662	4.89875	1.84523e-05	0.000151959	3
GSE87466	LOC100293440	similar to Ig lambda chain	100293440	216984_PM_x_at	1.09314	5.4195	1.84573e-05	0.000151978	2
GSE87466	SLC25A5	solute carrier family 25 member 5	292	200657_PM_at	-0.375031	-4.95771	1.85078e-05	0.00015237	1
GSE87466	CLASP1	cytoplasmic linker associated protein 1	23332	212752_PM_at	0.370612	5.1876	1.85299e-05	0.000152507	2
GSE87466	TNFRSF10A	TNF receptor superfamily member 10a	8797	231775_PM_at	0.430918	5.12646	1.85866e-05	0.00015295	3
GSE87466	EVI2B	ecotropic viral integration site 2B	2124	211742_PM_s_at	1.32865	5.26417	1.86151e-05	0.000153162	1
GSE87466	CRCT1	cysteine rich C-terminal 1	54544	220620_PM_at	-0.211445	-5.01517	1.86288e-05	0.000153251	1
GSE87466	KIAA1683	KIAA1683	80726	223600_PM_s_at	-0.609377	-5.31866	1.86473e-05	0.00015338	2
GSE87466	ZFP41	ZFP41 zinc finger protein	286128	227023_PM_at	-0.222307	-4.83621	1.86713e-05	0.000153532	4
GSE87466	MUC13	mucin 13, cell surface associated	56667	222712_PM_s_at	0.475733	4.69484	1.86925e-05	0.00015366	2
GSE87466	UQCRB	ubiquinol-cytochrome c reductase binding protein	7381	244293_PM_at	-0.390392	-5.12476	1.87107e-05	0.000153763	4
GSE87466	TMEM238	transmembrane protein 238	388564	229938_PM_at	-0.639232	-5.18034	1.87247e-05	0.000153855	1
GSE87466	ZNF608	zinc finger protein 608	57507	229817_PM_at	-0.594921	-5.09288	1.87812e-05	0.000154296	2
GSE87466	GLRX	glutaredoxin	2745	206662_PM_at	0.474755	5.3573	1.87956e-05	0.000154368	2
GSE87466	CHRM3	cholinergic receptor muscarinic 3	1131	1553705_PM_a_at	0.49369	4.75204	1.87999e-05	0.00015438	6
GSE87466	CLDN7	claudin 7	1366	202790_PM_at	-0.569501	-4.7224	1.88783e-05	0.000154954	1
GSE87466	TRA	T-cell receptor alpha locus	6955	217412_PM_at	0.295469	4.57754	1.88834e-05	0.000154973	4
GSE87466	ZNF148	zinc finger protein 148	7707	235166_PM_at	-0.21943	-5.23032	1.88913e-05	0.000155015	7
GSE87466	CMAS	cytidine monophosphate N-acetylneuraminic acid synthetase	55907	218111_PM_s_at	-0.615837	-5.01602	1.90731e-05	0.000156389	2
GSE87466	HNRNPU	heterogeneous nuclear ribonucleoprotein U	3192	200593_PM_s_at	0.286724	5.07842	1.90847e-05	0.000156461	6
GSE87466	FAM69A	family with sequence similarity 69 member A	388650	213689_PM_x_at	0.625972	5.32	1.91119e-05	0.00015666	3
GSE87466	ZNF415	zinc finger protein 415	55786	205514_PM_at	-0.631621	-5.04798	1.91345e-05	0.000156796	1
GSE87466	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	79133	227160_PM_s_at	-0.515382	-5.08337	1.91388e-05	0.000156796	3
GSE87466	SCARA5	scavenger receptor class A member 5	286133	229839_PM_at	-0.528844	-4.80622	1.92146e-05	0.000157384	3
GSE87466	OGFRL1	opioid growth factor receptor like 1	79627	226810_PM_at	0.692199	5.04218	1.92268e-05	0.000157461	3
GSE87466	NFYA	nuclear transcription factor Y subunit alpha	4800	204109_PM_s_at	0.416782	4.98761	1.93101e-05	0.000158095	6
GSE87466	TEX43	testis expressed 43	389320	237428_PM_at	-0.436476	-5.08483	1.93957e-05	0.000158749	1
GSE87466	SLC6A17	solute carrier family 6 member 17	388662	229925_PM_at	-0.339595	-5.20139	1.94229e-05	0.000158948	2
GSE87466	MLX	MLX, MAX dimerization protein	6945	210752_PM_s_at	-0.375868	-5.04612	1.94533e-05	0.000159149	6
GSE87466	HHIP	hedgehog interacting protein	64399	1556037_PM_s_at	-0.543038	-4.95497	1.94819e-05	0.000159335	3
GSE87466	TMEM80	transmembrane protein 80	283232	65630_PM_at	-0.510784	-5.15232	1.95037e-05	0.00015949	3
GSE87466	SOCS6	suppressor of cytokine signaling 6	9306	206020_PM_at	-0.429901	-4.85188	1.95611e-05	0.000159935	3
GSE87466	CACNA1D	calcium voltage-gated channel subunit alpha1 D	776	1555993_PM_at	-0.824402	-5.11423	1.95709e-05	0.000159988	4
GSE87466	LINC00341	long intergenic non-protein coding RNA 341	79686	219563_PM_at	0.657664	5.09373	1.95734e-05	0.000159988	1
GSE87466	PRKD3	protein kinase D3	23683	222565_PM_s_at	0.519525	5.14103	1.96446e-05	0.000160546	5
GSE87466	RPUSD3	RNA pseudouridylate synthase domain containing 3	285367	1566602_PM_at	-0.263208	-5.03676	1.96868e-05	0.000160771	5
GSE87466	MTDH	metadherin	92140	212248_PM_at	0.432414	5.1568	1.97504e-05	0.000161242	5
GSE87466	MBP	myelin basic protein	4155	216567_PM_at	-0.320106	-4.99265	1.97979e-05	0.000161581	7
GSE87466	TUSC8	tumor suppressor candidate 8 (non-protein coding)	400128	1569436_PM_at	-0.400079	-4.87504	1.98123e-05	0.000161651	1
GSE87466	NBR1	NBR1, autophagy cargo receptor	4077	201384_PM_s_at	-0.421256	-5.22853	1.98519e-05	0.000161926	4
GSE87466	SEPHS1	selenophosphate synthetase 1	22929	208940_PM_at	-0.298814	-4.92594	1.98735e-05	0.000162078	3
GSE87466	TCEB3C	transcription elongation factor B subunit 3C	162699	1552860_PM_at	-0.241349	-4.90727	1.9966e-05	0.000162759	1
GSE87466	SFMBT1	Scm-like with four mbt domains 1	51460	239054_PM_at	-0.345339	-4.85283	1.99876e-05	0.000162889	2
GSE87466	WWC2	WW and C2 domain containing 2	80014	218775_PM_s_at	0.317845	4.75333	1.99879e-05	0.000162889	4
GSE87466	ATP5F1	ATP synthase, H+ transporting, mitochondrial Fo complex subunit B1	515	243501_PM_at	-0.591899	-5.01112	2.00282e-05	0.000163169	2
GSE87466	MAFB	MAF bZIP transcription factor B	9935	222670_PM_s_at	0.503148	4.86359	2.01768e-05	0.000164331	2
GSE87466	COA7	cytochrome c oxidase assembly factor 7 (putative)	65260	219420_PM_s_at	-0.45167	-5.03157	2.02069e-05	0.000164549	2
GSE87466	OLFM3	olfactomedin 3	118427	1554524_PM_a_at	0.194719	4.54921	2.02096e-05	0.000164549	2
GSE87466	MFSD2A	major facilitator superfamily domain containing 2A	84879	225316_PM_at	0.816733	5.21622	2.02257e-05	0.000164655	2
GSE87466	LINC00460	long intergenic non-protein coding RNA 460	728192	1563062_PM_at	-0.222651	-4.92243	2.02303e-05	0.000164668	2
GSE87466	PTCD1	pentatricopeptide repeat domain 1	26024	222796_PM_at	-0.422311	-5.13816	2.02591e-05	0.000164878	2
GSE87466	ITGAV	integrin subunit alpha V	3685	202351_PM_at	0.526813	5.10271	2.03349e-05	0.000165446	1
GSE87466	DCLK1	doublecortin like kinase 1	9201	229800_PM_at	0.703916	4.94124	2.03392e-05	0.000165456	4
GSE87466	CNBD2	cyclic nucleotide binding domain containing 2	140894	1569466_PM_at	-0.231334	-4.89134	2.03889e-05	0.000165811	3
GSE87466	IRS4	insulin receptor substrate 4	8471	207403_PM_at	-0.196653	-4.84858	2.04542e-05	0.000166219	2
GSE87466	NCLN	nicalin	56926	215857_PM_at	0.292268	4.77182	2.04634e-05	0.000166269	3
GSE87466	OGG1	8-oxoguanine DNA glycosylase	4968	205760_PM_s_at	-0.353819	-4.89584	2.04667e-05	0.000166271	3
GSE87466	NOCT	nocturnin	25819	1554283_PM_at	0.666774	5.06231	2.05109e-05	0.000166605	2
GSE87466	LIPG	lipase G, endothelial type	9388	219181_PM_at	1.1168	5.2386	2.05812e-05	0.000167077	1
GSE87466	GLOD4	glyoxalase domain containing 4	51031	209092_PM_s_at	-0.537686	-5.09414	2.06476e-05	0.000167567	1
GSE87466	SLC52A1	solute carrier family 52 member 1	55065	220756_PM_s_at	-0.274648	-4.99051	2.066e-05	0.000167617	1
GSE87466	P2RY6	pyrimidinergic receptor P2Y6	5031	208373_PM_s_at	0.469003	4.93292	2.0681e-05	0.000167763	1
GSE87466	CTAGE5	CTAGE family member 5, ER export factor	4253	215930_PM_s_at	-0.462481	-5.14656	2.0725e-05	0.00016807	3
GSE87466	LOC100287723	Ig kappa chain V-I region Walker-like	100287723	217480_PM_x_at	1.0209	5.39532	2.07607e-05	0.000168285	1
GSE87466	SLC38A2	solute carrier family 38 member 2	54407	222982_PM_x_at	0.28916	5.0294	2.07697e-05	0.000168333	3
GSE87466	PPP1CB	protein phosphatase 1 catalytic subunit beta	5500	201409_PM_s_at	-0.389856	-4.90418	2.08643e-05	0.000169074	4
GSE87466	PVT1	Pvt1 oncogene (non-protein coding)	5820	1558290_PM_a_at	0.99381	5.17769	2.08985e-05	0.000169297	5
GSE87466	C4orf32	chromosome 4 open reading frame 32	132720	227856_PM_at	0.865858	5.16089	2.0901e-05	0.000169297	2
GSE87466	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	9914	206043_PM_s_at	-0.52407	-4.57843	2.09541e-05	0.000169626	3
GSE87466	LPIN2	lipin 2	9663	202460_PM_s_at	-0.319179	-4.99746	2.09811e-05	0.000169795	2
GSE87466	IFIT5	interferon induced protein with tetratricopeptide repeats 5	24138	203595_PM_s_at	0.753422	5.17255	2.11451e-05	0.000170944	2
GSE87466	SLC25A11	solute carrier family 25 member 11	8402	209003_PM_at	-0.322003	-4.88794	2.1242e-05	0.000171605	2
GSE87466	SMAD7	SMAD family member 7	4092	204790_PM_at	-0.698056	-4.98946	2.12939e-05	0.000171995	1
GSE87466	SCAMP5	secretory carrier membrane protein 5	192683	234568_PM_at	-0.280965	-5.08692	2.13554e-05	0.000172467	3
GSE87466	ZDHHC7	zinc finger DHHC-type containing 7	55625	218606_PM_at	-0.307682	-5.11934	2.13596e-05	0.000172475	1
GSE87466	HCST	hematopoietic cell signal transducer	10870	223640_PM_at	0.716502	5.12003	2.13697e-05	0.000172531	1
GSE87466	RPL13	ribosomal protein L13	6137	214976_PM_at	0.42832	5.03126	2.14131e-05	0.000172856	9
GSE87466	ISG15	ISG15 ubiquitin-like modifier	9636	205483_PM_s_at	0.785442	5.01018	2.15407e-05	0.000173748	1
GSE87466	DHX57	DEAH-box helicase 57	90957	213420_PM_at	0.245979	4.93177	2.15427e-05	0.000173748	2
GSE87466	PTPRE	protein tyrosine phosphatase, receptor type E	5791	1559018_PM_at	0.33704	4.79316	2.15485e-05	0.00017377	3
GSE87466	CBX3	chromobox 3	11335	201091_PM_s_at	0.404534	5.16072	2.1626e-05	0.000174369	3
GSE87466	CYB5R2	cytochrome b5 reductase 2	51700	220230_PM_s_at	0.765735	5.06828	2.16333e-05	0.000174402	1
GSE87466	LOC102800447	uncharacterized LOC102800447	102800447	1563185_PM_at	-0.20969	-5.03562	2.16527e-05	0.000174533	1
GSE87466	CARD14	caspase recruitment domain family member 14	79092	232608_PM_x_at	0.342789	4.7082	2.17295e-05	0.000175074	6
GSE87466	SNX32	sorting nexin 32	254122	1554181_PM_at	-0.475103	-5.18477	2.17422e-05	0.000175125	2
GSE87466	MAP1A	microtubule associated protein 1A	4130	203151_PM_at	0.761663	5.02595	2.17494e-05	0.000175157	3
GSE87466	DHRS4L2	dehydrogenase/reductase 4 like 2	317749	218021_PM_at	-0.51962	-5.01574	2.17686e-05	0.000175286	1
GSE87466	DSG2-AS1	DSG2 antisense RNA 1	100652770	1556835_PM_s_at	-0.475586	-4.86094	2.18385e-05	0.000175771	2
GSE87466	C1orf116	chromosome 1 open reading frame 116	79098	219476_PM_at	-0.525442	-4.76601	2.19038e-05	0.000176245	3
GSE87466	KDELC1	KDEL motif containing 1	79070	219479_PM_at	0.737047	5.21983	2.19264e-05	0.000176401	1
GSE87466	C20orf194	chromosome 20 open reading frame 194	25943	225825_PM_at	0.536841	4.98913	2.19336e-05	0.000176433	2
GSE87466	APLP2	amyloid beta precursor like protein 2	334	208248_PM_x_at	-0.405276	-5.01758	2.20501e-05	0.000177292	8
GSE87466	TIAM1	T-cell lymphoma invasion and metastasis 1	7074	206409_PM_at	0.336965	4.5398	2.22408e-05	0.000178799	2
GSE87466	DUSP6	dual specificity phosphatase 6	1848	208891_PM_at	0.428571	5.12536	2.22805e-05	0.000179092	3
GSE87466	RERG	RAS like estrogen regulated growth inhibitor	85004	227758_PM_at	0.747771	4.73382	2.22984e-05	0.000179209	2
GSE87466	SLC5A10	solute carrier family 5 member 10	125206	239707_PM_at	-0.259071	-4.9402	2.23151e-05	0.000179291	1
GSE87466	SULT1C2	sulfotransferase family 1C member 2	6819	205342_PM_s_at	1.30609	4.77897	2.23404e-05	0.000179415	4
GSE87466	APOC1	apolipoprotein C1	341	204416_PM_x_at	0.793283	4.98918	2.23511e-05	0.000179475	2
GSE87466	UQCC3	ubiquinol-cytochrome c reductase complex assembly factor 3	790955	229099_PM_at	-0.536159	-4.9987	2.25368e-05	0.00018086	1
GSE87466	KCTD14	potassium channel tetramerization domain containing 14	65987	219545_PM_at	0.652888	4.88572	2.26065e-05	0.000181339	2
GSE87466	LNX1	ligand of numb-protein X 1	84708	223611_PM_s_at	-0.390879	-4.4848	2.2648e-05	0.000181621	2
GSE87466	UBP1	upstream binding protein 1 (LBP-1a)	7342	218082_PM_s_at	-0.182832	-4.89864	2.27313e-05	0.000182207	1
GSE87466	PITPNB	phosphatidylinositol transfer protein beta	23760	202522_PM_at	0.385507	5.22196	2.27536e-05	0.000182359	1
GSE87466	TMEFF1	transmembrane protein with EGF like and two follistatin like domains 1	8577	205122_PM_at	0.330346	4.60697	2.27586e-05	0.000182372	2
GSE87466	GTF2A2	general transcription factor IIA subunit 2	2958	230376_PM_at	-0.414049	-4.87242	2.28328e-05	0.000182913	3
GSE87466	ID2-AS1	ID2 antisense RNA 1 (head to head)	100506299	236719_PM_at	-0.938897	-5.18792	2.28463e-05	0.000182994	2
GSE87466	MMP11	matrix metallopeptidase 11	4320	203878_PM_s_at	-0.31652	-4.89374	2.2859e-05	0.000183069	4
GSE87466	RXRA	retinoid X receptor alpha	6256	202449_PM_s_at	-0.56726	-5.21515	2.28763e-05	0.000183181	2
GSE87466	SNAP29	synaptosome associated protein 29	9342	222597_PM_at	-0.575827	-5.00208	2.29803e-05	0.000183852	3
GSE87466	FDX1	ferredoxin 1	2230	203646_PM_at	-0.79566	-5.10382	2.29911e-05	0.000183885	3
GSE87466	GOLGA6C	golgin A6 family member C	653641	207575_PM_at	-0.216396	-5.14394	2.30233e-05	0.000184062	1
GSE87466	BCAS1	breast carcinoma amplified sequence 1	8537	204378_PM_at	-0.571283	-4.57226	2.3029e-05	0.000184081	3
GSE87466	TMEM43	transmembrane protein 43	79188	217795_PM_s_at	0.31318	4.82168	2.30559e-05	0.000184269	4
GSE87466	SFTA1P	surfactant associated 1, pseudogene	207107	243818_PM_at	-0.833229	-4.77822	2.31206e-05	0.000184705	1
GSE87466	BTD	biotinidase	686	237190_PM_at	-0.421257	-4.98428	2.32013e-05	0.000185268	3
GSE87466	GYG1	glycogenin 1	2992	211275_PM_s_at	0.373701	5.04475	2.32354e-05	0.000185487	2
GSE87466	TRPV1	transient receptor potential cation channel subfamily V member 1	7442	219632_PM_s_at	-0.929683	-5.23976	2.33829e-05	0.000186507	1
GSE87466	GORASP1	golgi reassembly stacking protein 1	64689	243677_PM_at	-0.281769	-4.91027	2.33837e-05	0.000186507	2
GSE87466	NEURL3	neuralized E3 ubiquitin protein ligase 3	93082	232593_PM_at	-0.992327	-5.18366	2.33945e-05	0.000186566	1
GSE87466	IER3	immediate early response 3	8870	201631_PM_s_at	0.647605	5.02499	2.34413e-05	0.000186858	1
GSE87466	ASXL3	additional sex combs like 3, transcriptional regulator	80816	233686_PM_at	-0.301922	-4.93197	2.35307e-05	0.000187516	3
GSE87466	VSNL1	visinin like 1	7447	203798_PM_s_at	0.80727	4.96068	2.35427e-05	0.000187584	2
GSE87466	RPL28	ribosomal protein L28	6158	213223_PM_at	-0.400694	-5.03919	2.35618e-05	0.000187709	2
