gene_symbol	gene_title	datasets	evidence_groups	evidence_group_count	direction	direction_consistency	mean_log2fc	min_log2fc	max_log2fc	best_fdr	consensus_score
ATF1	activating transcription factor 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.49552	-0.500562	-0.490478	1.05538e-07	0.99104
KIAA1324	KIAA1324	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.495508	-0.608786	-0.38223	3.79616e-05	0.991016
FAM72A	family with sequence similarity 72 member A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.495348	0.305858	0.684838	5.07166e-06	0.990696
CBR4	carbonyl reductase 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.495301	-0.507098	-0.483503	1.63755e-05	0.990601
CNRIP1	cannabinoid receptor interacting protein 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.495283	0.33571	0.654857	4.9257e-06	0.990567
LNPK	lunapark, ER junction formation factor	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.495121	-0.526559	-0.463683	3.46528e-06	0.990242
ELMSAN1	ELM2 and Myb/SANT domain containing 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.494863	-0.499813	-0.489913	4.27795e-09	0.989726
SND1	staphylococcal nuclease and tudor domain containing 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.494831	0.337537	0.652126	4.58725e-09	0.989663
IFFO1	intermediate filament family orphan 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.494816	0.294557	0.695076	5.7489e-09	0.989633
MGAT3	mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.494795	0.145174	0.844417	1.03182e-06	0.989591
MPI	mannose phosphate isomerase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.4946	-0.667566	-0.321634	3.04143e-05	0.9892
MLYCD	malonyl-CoA decarboxylase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.494314	-0.565967	-0.422661	1.22797e-07	0.988628
TRPM7	transient receptor potential cation channel subfamily M member 7	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.494113	-0.504093	-0.484134	2.93969e-06	0.988227
KIF14	kinesin family member 14	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.493783	0.372912	0.614655	0.000887948	0.987567
CHST13	carbohydrate sulfotransferase 13	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493781	-0.772754	-0.214807	7.00409e-05	0.987561
ZNF382	zinc finger protein 382	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.493604	0.222755	0.764452	0.000276468	0.987207
NUBPL	nucleotide binding protein like	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493497	-0.629223	-0.357771	1.0878e-05	0.986994
FAM118B	family with sequence similarity 118 member B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493457	-0.547085	-0.439829	1.53126e-10	0.986914
LGI4	leucine rich repeat LGI family member 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493422	-0.55845	-0.428395	5.4674e-05	0.986845
PHLPP1	PH domain and leucine rich repeat protein phosphatase 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493278	-0.555247	-0.431309	2.51207e-06	0.986556
VPS13A	vacuolar protein sorting 13 homolog A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493246	-0.554151	-0.432342	5.42298e-07	0.986493
NTS	neurotensin	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.49318	-0.606696	-0.379664	0.050602	0.98636
MCEMP1	mast cell expressed membrane protein 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.493174	0.277115	0.709233	2.37261e-07	0.986348
MARCKS	myristoylated alanine rich protein kinase C substrate	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.493014	-0.550736	-0.435292	6.3282e-08	0.986028
PACRG	PARK2 coregulated	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.492996	-0.56982	-0.416172	5.32502e-06	0.985992
C1QB	complement C1q B chain	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.492983	0.299985	0.685981	0.0723974	0.985966
APOL6	apolipoprotein L6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.492899	0.434981	0.550817	6.41428e-06	0.985798
TMEM109	transmembrane protein 109	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.49288	0.359229	0.626532	1.06041e-06	0.985761
TMEM132A	transmembrane protein 132A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.492843	0.454016	0.531671	2.06522e-06	0.985687
COA3	cytochrome c oxidase assembly factor 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.492822	-0.511078	-0.474565	1.13854e-08	0.985643
COQ7	coenzyme Q7, hydroxylase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.492803	-0.504728	-0.480879	8.51073e-09	0.985607
ZNRF2	zinc and ring finger 2, E3 ubiquitin protein ligase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.492748	-0.609253	-0.376243	4.24289e-07	0.985496
FLNC	filamin C	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.492271	0.45221	0.532332	9.48087e-05	0.984542
LIMA1	LIM domain and actin binding 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.492226	-0.634687	-0.349765	6.7563e-17	0.984452
TEAD2	TEA domain transcription factor 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.492173	0.463913	0.520433	1.75696e-06	0.984346
PCTP	phosphatidylcholine transfer protein	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491781	-0.590134	-0.393427	5.52493e-11	0.983561
MANEA	mannosidase endo-alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.491661	0.289375	0.693947	0.00288104	0.983322
MVB12B	multivesicular body subunit 12B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491509	-0.618184	-0.364834	5.02642e-08	0.983018
MITF	melanogenesis associated transcription factor	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.491479	0.350774	0.632185	0.000177633	0.982959
RIPK4	receptor interacting serine/threonine kinase 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491413	-0.68896	-0.293866	5.67177e-07	0.982826
SCOC	short coiled-coil protein	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491171	-0.598068	-0.384273	8.48585e-05	0.982341
IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491036	-0.571642	-0.41043	6.62776e-10	0.982072
RSAD2	radical S-adenosyl methionine domain containing 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491027	-0.64371	-0.338344	0.100619	0.982054
SUCLA2	succinate-CoA ligase ADP-forming beta subunit	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.491026	-0.524315	-0.457737	1.25379e-05	0.982052
MXRA8	matrix remodeling associated 8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.490892	0.373659	0.608125	1.49876e-05	0.981784
USP11	ubiquitin specific peptidase 11	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.490885	0.402909	0.578862	1.09254e-05	0.981771
KIAA0226L	KIAA0226 like	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.490756	0.398027	0.583485	1.21051e-07	0.981512
STK39	serine/threonine kinase 39	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.490708	-0.492804	-0.488612	2.52727e-06	0.981416
SMIM7	small integral membrane protein 7	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.490606	-0.652806	-0.328406	5.71591e-08	0.981212
GSS	glutathione synthetase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.49053	-0.58779	-0.393271	1.94662e-06	0.981061
TTLL4	tubulin tyrosine ligase like 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.490393	0.470243	0.510542	6.41428e-06	0.980785
MIR600HG	MIR600 host gene	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.490334	-0.565424	-0.415244	6.70359e-07	0.980668
MAFB	MAF bZIP transcription factor B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.490291	0.477435	0.503148	0.000164331	0.980583
CD1B	CD1b molecule	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.490026	0.302652	0.677399	4.73217e-08	0.980051
GRM8	glutamate metabotropic receptor 8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.490024	-0.584104	-0.395945	4.65383e-06	0.980049
RXRA	retinoid X receptor alpha	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48992	-0.56726	-0.412581	8.14882e-06	0.979841
GLIS3	GLIS family zinc finger 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.489888	0.469172	0.510603	0.00411418	0.979775
ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.489613	-0.609655	-0.36957	0.000345215	0.979225
UGT2B28	UDP glucuronosyltransferase family 2 member B28	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.489486	-0.952115	-0.0268564	6.66898e-10	0.978971
ASPN	asporin	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.489253	0.365294	0.613212	0.00808093	0.978506
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.489202	0.390161	0.588243	2.16175e-06	0.978404
GLOD4	glyoxalase domain containing 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48908	-0.537686	-0.440474	1.81326e-05	0.97816
CITED2	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.488965	-0.675265	-0.302666	1.71582e-05	0.977931
QPCT	glutaminyl-peptide cyclotransferase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.488777	0.365404	0.612151	0.000506499	0.977555
PPFIBP2	PPFIA binding protein 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.488768	-0.599199	-0.378337	2.18069e-06	0.977536
PGAP2	post-GPI attachment to proteins 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.488735	-0.616358	-0.361113	1.42927e-07	0.977471
RASSF6	Ras association domain family member 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.488649	-0.493561	-0.483737	1.32954e-05	0.977298
ELOVL2	ELOVL fatty acid elongase 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.488447	0.450534	0.52636	1.16637e-06	0.976894
CNPY2	canopy FGF signaling regulator 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.488322	0.346432	0.630212	4.04272e-08	0.976644
LRRC70	leucine rich repeat containing 70	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.488294	0.34597	0.630618	1.38103e-06	0.976588
TMEM168	transmembrane protein 168	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.488266	-0.551933	-0.4246	9.75824e-10	0.976533
FTSJ1	FtsJ RNA methyltransferase homolog 1 (E. coli)	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.488216	0.487874	0.488559	1.13683e-13	0.976433
PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.488198	-0.602988	-0.373409	3.00917e-07	0.976397
RAI1	retinoic acid induced 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.487901	0.485864	0.489937	1.24454e-07	0.975801
TANK	TRAF family member associated NFKB activator	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.487812	0.356713	0.618912	1.79334e-05	0.975625
MRPL15	mitochondrial ribosomal protein L15	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.487751	-0.567516	-0.407986	4.3334e-11	0.975502
ABCA13	ATP binding cassette subfamily A member 13	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.487088	0.191881	0.782296	7.22784e-12	0.974177
ITIH4	inter-alpha-trypsin inhibitor heavy chain family member 4	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.486915	0.316278	0.657552	0.000187891	0.97383
IMMP1L	inner mitochondrial membrane peptidase subunit 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48677	-0.597486	-0.376055	0.00126287	0.973541
ARHGAP18	Rho GTPase activating protein 18	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.486716	-0.576073	-0.397359	0.000252138	0.973432
CYFIP2	cytoplasmic FMR1 interacting protein 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.486686	0.424109	0.549263	0.000338843	0.973372
ITPKB	inositol-trisphosphate 3-kinase B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.486598	0.382101	0.591094	3.57575e-08	0.973195
VASH1	vasohibin 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.48658	0.468005	0.505155	3.24571e-09	0.97316
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.486578	0.253652	0.719504	0.00217755	0.973156
KIAA0930	KIAA0930	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.486365	0.420686	0.552044	2.4296e-05	0.97273
ARHGEF10L	Rho guanine nucleotide exchange factor 10 like	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.486322	-0.604855	-0.367789	2.56469e-07	0.972644
DNAJC15	DnaJ heat shock protein family (Hsp40) member C15	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48621	-0.693571	-0.278849	0.000126006	0.97242
TMEM131	transmembrane protein 131	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.486035	-0.634576	-0.337493	4.01499e-07	0.972069
TRIM16	tripartite motif containing 16	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.485847	0.21126	0.760433	8.79338e-10	0.971693
DDX58	DEXD/H-box helicase 58	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.485828	0.31966	0.651996	0.0832209	0.971656
AKAP12	A-kinase anchoring protein 12	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.485525	0.315064	0.655986	1.11715e-05	0.97105
F13A1	coagulation factor XIII A chain	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.485239	-0.779184	-0.191295	0.0087156	0.970479
SH2D6	SH2 domain containing 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.485215	-0.714239	-0.256192	3.33857e-05	0.970431
MTIF2	mitochondrial translational initiation factor 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.485162	-0.561492	-0.408831	9.27165e-07	0.970323
TUBG2	tubulin gamma 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.485063	0.427144	0.542983	2.01726e-05	0.970127
PYGB	phosphorylase, glycogen; brain	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.485052	-0.496826	-0.473279	1.39375e-05	0.970105
TOM1L2	target of myb1 like 2 membrane trafficking protein	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.485031	-0.513677	-0.456385	0.000166182	0.970062
SLC25A5	solute carrier family 25 member 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.485002	-0.594973	-0.375031	1.60353e-05	0.970004
ABLIM3	actin binding LIM protein family member 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.484932	0.437045	0.532819	3.31158e-05	0.969864
HSD17B8	hydroxysteroid 17-beta dehydrogenase 8	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.484796	-0.534092	-0.435499	1.60664e-06	0.969591
FBLIM1	filamin binding LIM protein 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.484689	-0.580278	-0.389101	0.000798178	0.969379
CUL5	cullin 5	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.484675	-0.870708	-0.0986425	1.16134e-05	0.969351
STK38L	serine/threonine kinase 38 like	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.484664	-0.556191	-0.413136	5.2222e-07	0.969327
TAPBP	TAP binding protein (tapasin)	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.484592	0.27469	0.694495	3.1949e-12	0.969185
GPT	glutamic--pyruvic transaminase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.484445	-0.502467	-0.466424	0.00171621	0.968891
BLOC1S6	biogenesis of lysosomal organelles complex 1 subunit 6	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.484372	0.430324	0.53842	3.19607e-05	0.968744
DOPEY2	dopey family member 2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.484167	-0.558198	-0.410136	0.00451259	0.968334
KIF20A	kinesin family member 20A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.483995	0.323331	0.644659	0.00304117	0.96799
FAM83G	family with sequence similarity 83 member G	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.483851	-0.639428	-0.328275	0.00342669	0.967703
HTR1D	5-hydroxytryptamine receptor 1D	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.483777	0.000292611	0.967261	4.32167e-11	0.967554
NDUFB3	NADH:ubiquinone oxidoreductase subunit B3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.483754	-0.667094	-0.300414	8.14085e-05	0.967508
PGGT1B	protein geranylgeranyltransferase type I subunit beta	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.483519	-0.513418	-0.453619	4.31834e-06	0.967037
HNF1A	HNF1 homeobox A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.483479	-0.520505	-0.446452	5.1671e-05	0.966957
SLC22A18	solute carrier family 22 member 18	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.483431	-0.722771	-0.244091	0.000261879	0.966862
FAM120AOS	family with sequence similarity 120A opposite strand	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.483426	-0.499051	-0.4678	2.54012e-14	0.966851
NPL	N-acetylneuraminate pyruvate lyase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.483004	0.323861	0.642147	0.00210163	0.966008
ZNF492	zinc finger protein 492	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.482981	-0.622039	-0.343922	8.18493e-05	0.965961
SAMD9	sterile alpha motif domain containing 9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.482969	0.374566	0.591372	5.23042e-05	0.965938
VTA1	vesicle trafficking 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48266	-0.495461	-0.469859	7.14061e-07	0.96532
FKBP7	FK506 binding protein 7	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.482643	0.387244	0.578042	2.19657e-05	0.965286
UBE2E2	ubiquitin conjugating enzyme E2 E2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.482494	0.470056	0.494931	0.00396533	0.964987
ZCCHC10	zinc finger CCHC-type containing 10	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.482316	-0.553882	-0.410751	5.62591e-08	0.964633
MYO9A	myosin IXA	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.482247	-0.55623	-0.408264	7.64567e-06	0.964494
TTC30B	tetratricopeptide repeat domain 30B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.482244	-0.55654	-0.407947	0.0010171	0.964487
NNT	nicotinamide nucleotide transhydrogenase	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.482243	-0.639227	-0.325259	5.93805e-06	0.964486
FAM117A	family with sequence similarity 117 member A	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.482205	0.413864	0.550546	1.98667e-07	0.96441
HOXD1	homeobox D1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48219	-0.722409	-0.241971	0.00035659	0.96438
TMED9	transmembrane p24 trafficking protein 9	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.482022	0.371314	0.59273	8.61241e-07	0.964044
BID	BH3 interacting domain death agonist	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.481767	0.2031	0.760434	0.00137178	0.963534
SLC40A1	solute carrier family 40 member 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	up	1.000	0.48163	0.339578	0.623681	0.00302626	0.963259
AKR1C2	aldo-keto reductase family 1, member C2	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.481601	-0.575966	-0.387236	0.0090241	0.963202
CELA3B	chymotrypsin like elastase family member 3B	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.481544	-0.838919	-0.124168	3.4072e-06	0.963087
AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.48144	-0.522927	-0.439952	6.7546e-08	0.962879
FHIT	fragile histidine triad	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.481429	-0.506146	-0.456712	8.40637e-07	0.962858
MCOLN3	mucolipin 3	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.481384	-0.556872	-0.405895	1.50274e-05	0.962767
ABHD12	abhydrolase domain containing 12	GSE75214;GSE59071;GSE87466	GPL13158_uc_colon;GPL6244_active_uc_colon	2	down	1.000	-0.481235	-0.616692	-0.345778	4.09857e-05	0.96247
