patient_assignment	tissue_assignment	disease_assignment	celltype	gene_symbol	n_cells	sum_counts	detected_cells	detection_fraction	total_umi	log1p_cpm
C2	R	healthy	B:B4	IL7	17	3	3	0.176471	47340	0.490856
C2	R	healthy	B:B4	ITGAM	17	0	0	0	47340	0
C2	R	healthy	B:B4	ITGAX	17	1	1	0.0588235	47340	0.191643
C2	R	healthy	B:B4	JAK1	17	11	11	0.647059	47340	1.20105
C2	R	healthy	B:B4	LYZ	17	1	1	0.0588235	47340	0.191643
C2	R	healthy	B:B4	MAFB	17	0	0	0	47340	0
C2	R	healthy	B:B4	MAP1LC3B	17	9	7	0.411765	47340	1.0651
C2	R	healthy	B:B4	MAPK14	17	1	1	0.0588235	47340	0.191643
C2	R	healthy	B:B4	NFKB1	17	5	3	0.176471	47340	0.720854
C2	R	healthy	B:B4	NLRP3	17	0	0	0	47340	0
C2	R	healthy	B:B4	OSM	17	0	0	0	47340	0
C2	R	healthy	B:B4	PARP1	17	6	4	0.235294	47340	0.818646
C2	R	healthy	B:B4	PIAS1	17	2	2	0.117647	47340	0.352399
C2	R	healthy	B:B4	PKM	17	6	5	0.294118	47340	0.818646
C2	R	healthy	B:B4	PRKAA1	17	1	1	0.0588235	47340	0.191643
C2	R	healthy	B:B4	PTGS2	17	0	0	0	47340	0
C2	R	healthy	B:B4	RELA	17	2	2	0.117647	47340	0.352399
C2	R	healthy	B:B4	SH3KBP1	17	5	3	0.176471	47340	0.720854
C2	R	healthy	B:B4	SMAD3	17	0	0	0	47340	0
C2	R	healthy	B:B4	SOD1	17	7	7	0.411765	47340	0.90772
C2	R	healthy	B:B4	STAT3	17	3	3	0.176471	47340	0.490856
C2	R	healthy	B:B4	STAT5A	17	0	0	0	47340	0
C2	R	healthy	B:B4	SYK	17	4	3	0.176471	47340	0.612453
C2	R	healthy	B:B4	TLR4	17	0	0	0	47340	0
C2	R	healthy	B:B4	TNF	17	3	2	0.117647	47340	0.490856
C2	R	healthy	B:B5	ACTA2	20	0	0	0	66082	0
C2	R	healthy	B:B5	AHR	20	3	3	0.15	66082	0.374306
C2	R	healthy	B:B5	AKT1	20	0	0	0	66082	0
C2	R	healthy	B:B5	ARNTL	20	2	2	0.1	66082	0.264404
C2	R	healthy	B:B5	BCL6	20	1	1	0.05	66082	0.140915
C2	R	healthy	B:B5	BECN1	20	3	3	0.15	66082	0.374306
C2	R	healthy	B:B5	BLNK	20	9	6	0.3	66082	0.859485
C2	R	healthy	B:B5	BRD4	20	1	1	0.05	66082	0.140915
C2	R	healthy	B:B5	CAT	20	5	4	0.2	66082	0.5634
C2	R	healthy	B:B5	CD4	20	0	0	0	66082	0
C2	R	healthy	B:B5	CD86	20	0	0	0	66082	0
C2	R	healthy	B:B5	CREB1	20	3	3	0.15	66082	0.374306
C2	R	healthy	B:B5	CTNNB1	20	0	0	0	66082	0
C2	R	healthy	B:B5	DNMT1	20	2	2	0.1	66082	0.264404
C2	R	healthy	B:B5	FOXP3	20	0	0	0	66082	0
C2	R	healthy	B:B5	GABPA	20	1	1	0.05	66082	0.140915
C2	R	healthy	B:B5	HIF1A	20	12	9	0.45	66082	1.03529
C2	R	healthy	B:B5	HMOX1	20	3	2	0.1	66082	0.374306
C2	R	healthy	B:B5	ICAM1	20	1	1	0.05	66082	0.140915
C2	R	healthy	B:B5	IFNG	20	0	0	0	66082	0
C2	R	healthy	B:B5	IL15	20	2	2	0.1	66082	0.264404
C2	R	healthy	B:B5	IL1B	20	0	0	0	66082	0
C2	R	healthy	B:B5	IL7	20	0	0	0	66082	0
C2	R	healthy	B:B5	ITGAM	20	3	2	0.1	66082	0.374306
C2	R	healthy	B:B5	ITGAX	20	1	1	0.05	66082	0.140915
C2	R	healthy	B:B5	JAK1	20	13	11	0.55	66082	1.08764
C2	R	healthy	B:B5	LYZ	20	0	0	0	66082	0
C2	R	healthy	B:B5	MAFB	20	0	0	0	66082	0
C2	R	healthy	B:B5	MAP1LC3B	20	5	4	0.2	66082	0.5634
C2	R	healthy	B:B5	MAPK14	20	1	1	0.05	66082	0.140915
C2	R	healthy	B:B5	NFKB1	20	4	3	0.15	66082	0.473316
C2	R	healthy	B:B5	NLRP3	20	0	0	0	66082	0
C2	R	healthy	B:B5	OSM	20	0	0	0	66082	0
C2	R	healthy	B:B5	PARP1	20	13	9	0.45	66082	1.08764
C2	R	healthy	B:B5	PIAS1	20	6	6	0.3	66082	0.646036
C2	R	healthy	B:B5	PKM	20	10	9	0.45	66082	0.921585
C2	R	healthy	B:B5	PRKAA1	20	3	3	0.15	66082	0.374306
C2	R	healthy	B:B5	PTGS2	20	0	0	0	66082	0
C2	R	healthy	B:B5	RELA	20	2	2	0.1	66082	0.264404
C2	R	healthy	B:B5	SH3KBP1	20	2	2	0.1	66082	0.264404
C2	R	healthy	B:B5	SMAD3	20	3	3	0.15	66082	0.374306
C2	R	healthy	B:B5	SOD1	20	17	13	0.65	66082	1.27328
C2	R	healthy	B:B5	STAT3	20	10	8	0.4	66082	0.921585
C2	R	healthy	B:B5	STAT5A	20	2	2	0.1	66082	0.264404
C2	R	healthy	B:B5	SYK	20	10	6	0.3	66082	0.921585
C2	R	healthy	B:B5	TLR4	20	0	0	0	66082	0
C2	R	healthy	B:B5	TNF	20	4	4	0.2	66082	0.473316
C2	R	healthy	B:B6	ACTA2	505	17	17	0.0336634	4.794e+06	0.0348467
C2	R	healthy	B:B6	AHR	505	31	27	0.0534653	4.794e+06	0.0626594
C2	R	healthy	B:B6	AKT1	505	26	25	0.049505	4.794e+06	0.0528149
C2	R	healthy	B:B6	ARNTL	505	10	10	0.019802	4.794e+06	0.0206448
C2	R	healthy	B:B6	BCL6	505	1	1	0.0019802	4.794e+06	0.00208377
C2	R	healthy	B:B6	BECN1	505	93	80	0.158416	4.794e+06	0.177303
C2	R	healthy	B:B6	BLNK	505	259	197	0.390099	4.794e+06	0.43195
C2	R	healthy	B:B6	BRD4	505	96	85	0.168317	4.794e+06	0.18253
C2	R	healthy	B:B6	CAT	505	77	69	0.136634	4.794e+06	0.148952
C2	R	healthy	B:B6	CD4	505	5	4	0.00792079	4.794e+06	0.0103757
C2	R	healthy	B:B6	CD86	505	53	46	0.0910891	4.794e+06	0.10486
C2	R	healthy	B:B6	CREB1	505	53	51	0.10099	4.794e+06	0.10486
C2	R	healthy	B:B6	CTNNB1	505	39	37	0.0732673	4.794e+06	0.0782118
C2	R	healthy	B:B6	DNMT1	505	52	45	0.0891089	4.794e+06	0.10298
C2	R	healthy	B:B6	FOXP3	505	0	0	0	4.794e+06	0
C2	R	healthy	B:B6	GABPA	505	30	29	0.0574257	4.794e+06	0.0606983
C2	R	healthy	B:B6	HIF1A	505	55	52	0.10297	4.794e+06	0.108609
C2	R	healthy	B:B6	HMOX1	505	6	6	0.0118812	4.794e+06	0.012438
C2	R	healthy	B:B6	ICAM1	505	42	35	0.0693069	4.794e+06	0.0839822
C2	R	healthy	B:B6	IFNG	505	3	3	0.00594059	4.794e+06	0.00623832
C2	R	healthy	B:B6	IL15	505	42	36	0.0712871	4.794e+06	0.0839822
C2	R	healthy	B:B6	IL1B	505	8	1	0.0019802	4.794e+06	0.0165498
C2	R	healthy	B:B6	IL7	505	1	1	0.0019802	4.794e+06	0.00208377
C2	R	healthy	B:B6	ITGAM	505	0	0	0	4.794e+06	0
C2	R	healthy	B:B6	ITGAX	505	0	0	0	4.794e+06	0
C2	R	healthy	B:B6	JAK1	505	314	216	0.427723	4.794e+06	0.503792
C2	R	healthy	B:B6	LYZ	505	19	1	0.0019802	4.794e+06	0.0388677
C2	R	healthy	B:B6	MAFB	505	0	0	0	4.794e+06	0
C2	R	healthy	B:B6	MAP1LC3B	505	261	199	0.394059	4.794e+06	0.434655
C2	R	healthy	B:B6	MAPK14	505	34	34	0.0673267	4.794e+06	0.06852
C2	R	healthy	B:B6	NFKB1	505	56	49	0.0970297	4.794e+06	0.110479
C2	R	healthy	B:B6	NLRP3	505	0	0	0	4.794e+06	0
C2	R	healthy	B:B6	OSM	505	4	1	0.0019802	4.794e+06	0.00830915
C2	R	healthy	B:B6	PARP1	505	420	270	0.534653	4.794e+06	0.629193
C2	R	healthy	B:B6	PIAS1	505	147	127	0.251485	4.794e+06	0.267454
C2	R	healthy	B:B6	PKM	505	308	224	0.443564	4.794e+06	0.496201
C2	R	healthy	B:B6	PRKAA1	505	36	32	0.0633663	4.794e+06	0.072408
C2	R	healthy	B:B6	PTGS2	505	3	1	0.0019802	4.794e+06	0.00623832
C2	R	healthy	B:B6	RELA	505	36	33	0.0653465	4.794e+06	0.072408
C2	R	healthy	B:B6	SH3KBP1	505	86	75	0.148515	4.794e+06	0.164998
C2	R	healthy	B:B6	SMAD3	505	3	3	0.00594059	4.794e+06	0.00623832
C2	R	healthy	B:B6	SOD1	505	512	306	0.605941	4.794e+06	0.726583
C2	R	healthy	B:B6	STAT3	505	167	138	0.273267	4.794e+06	0.298883
C2	R	healthy	B:B6	STAT5A	505	21	21	0.0415842	4.794e+06	0.0428725
C2	R	healthy	B:B6	SYK	505	125	114	0.225743	4.794e+06	0.231701
C2	R	healthy	B:B6	TLR4	505	0	0	0	4.794e+06	0
C2	R	healthy	B:B6	TNF	505	5	4	0.00792079	4.794e+06	0.0103757
C2	R	healthy	B:B7	ACTA2	146	0	0	0	525561	0
C2	R	healthy	B:B7	AHR	146	4	4	0.0273973	525561	0.0733519
C2	R	healthy	B:B7	AKT1	146	0	0	0	525561	0
C2	R	healthy	B:B7	ARNTL	146	1	1	0.00684932	525561	0.0188485
C2	R	healthy	B:B7	BCL6	146	0	0	0	525561	0
C2	R	healthy	B:B7	BECN1	146	11	10	0.0684932	525561	0.190042
C2	R	healthy	B:B7	BLNK	146	24	20	0.136986	525561	0.376143
C2	R	healthy	B:B7	BRD4	146	9	9	0.0616438	525561	0.158068
C2	R	healthy	B:B7	CAT	146	6	6	0.0410959	525561	0.108104
C2	R	healthy	B:B7	CD4	146	1	1	0.00684932	525561	0.0188485
C2	R	healthy	B:B7	CD86	146	5	5	0.0342466	525561	0.090879
C2	R	healthy	B:B7	CREB1	146	9	8	0.0547945	525561	0.158068
C2	R	healthy	B:B7	CTNNB1	146	3	3	0.0205479	525561	0.0555122
C2	R	healthy	B:B7	DNMT1	146	7	7	0.0479452	525561	0.125038
C2	R	healthy	B:B7	FOXP3	146	0	0	0	525561	0
C2	R	healthy	B:B7	GABPA	146	2	2	0.0136986	525561	0.0373484
C2	R	healthy	B:B7	HIF1A	146	5	5	0.0342466	525561	0.090879
C2	R	healthy	B:B7	HMOX1	146	3	3	0.0205479	525561	0.0555122
C2	R	healthy	B:B7	ICAM1	146	5	4	0.0273973	525561	0.090879
C2	R	healthy	B:B7	IFNG	146	1	1	0.00684932	525561	0.0188485
C2	R	healthy	B:B7	IL15	146	3	3	0.0205479	525561	0.0555122
C2	R	healthy	B:B7	IL1B	146	0	0	0	525561	0
C2	R	healthy	B:B7	IL7	146	0	0	0	525561	0
C2	R	healthy	B:B7	ITGAM	146	0	0	0	525561	0
C2	R	healthy	B:B7	ITGAX	146	0	0	0	525561	0
C2	R	healthy	B:B7	JAK1	146	30	25	0.171233	525561	0.451597
C2	R	healthy	B:B7	LYZ	146	0	0	0	525561	0
C2	R	healthy	B:B7	MAFB	146	0	0	0	525561	0
C2	R	healthy	B:B7	MAP1LC3B	146	33	28	0.191781	525561	0.487291
C2	R	healthy	B:B7	MAPK14	146	1	1	0.00684932	525561	0.0188485
C2	R	healthy	B:B7	NFKB1	146	7	7	0.0479452	525561	0.125038
C2	R	healthy	B:B7	NLRP3	146	0	0	0	525561	0
C2	R	healthy	B:B7	OSM	146	0	0	0	525561	0
C2	R	healthy	B:B7	PARP1	146	34	27	0.184932	525561	0.498912
C2	R	healthy	B:B7	PIAS1	146	13	12	0.0821918	525561	0.221025
C2	R	healthy	B:B7	PKM	146	23	21	0.143836	525561	0.362994
C2	R	healthy	B:B7	PRKAA1	146	4	4	0.0273973	525561	0.0733519
C2	R	healthy	B:B7	PTGS2	146	0	0	0	525561	0
C2	R	healthy	B:B7	RELA	146	6	6	0.0410959	525561	0.108104
C2	R	healthy	B:B7	SH3KBP1	146	8	6	0.0410959	525561	0.141689
C2	R	healthy	B:B7	SMAD3	146	0	0	0	525561	0
C2	R	healthy	B:B7	SOD1	146	38	31	0.212329	525561	0.544088
C2	R	healthy	B:B7	STAT3	146	18	16	0.109589	525561	0.294527
C2	R	healthy	B:B7	STAT5A	146	2	2	0.0136986	525561	0.0373484
C2	R	healthy	B:B7	SYK	146	15	14	0.0958904	525561	0.251077
C2	R	healthy	B:B7	TLR4	146	0	0	0	525561	0
C2	R	healthy	B:B7	TNF	146	0	0	0	525561	0
C2	R	healthy	B:B8	ACTA2	2	0	0	0	5105	0
C2	R	healthy	B:B8	AHR	2	0	0	0	5105	0
C2	R	healthy	B:B8	AKT1	2	0	0	0	5105	0
C2	R	healthy	B:B8	ARNTL	2	0	0	0	5105	0
C2	R	healthy	B:B8	BCL6	2	0	0	0	5105	0
C2	R	healthy	B:B8	BECN1	2	0	0	0	5105	0
C2	R	healthy	B:B8	BLNK	2	1	1	0.5	5105	1.08481
C2	R	healthy	B:B8	BRD4	2	0	0	0	5105	0
C2	R	healthy	B:B8	CAT	2	1	1	0.5	5105	1.08481
C2	R	healthy	B:B8	CD4	2	0	0	0	5105	0
C2	R	healthy	B:B8	CD86	2	0	0	0	5105	0
C2	R	healthy	B:B8	CREB1	2	0	0	0	5105	0
C2	R	healthy	B:B8	CTNNB1	2	0	0	0	5105	0
C2	R	healthy	B:B8	DNMT1	2	0	0	0	5105	0
C2	R	healthy	B:B8	FOXP3	2	0	0	0	5105	0
C2	R	healthy	B:B8	GABPA	2	0	0	0	5105	0
C2	R	healthy	B:B8	HIF1A	2	2	2	1	5105	1.59285
C2	R	healthy	B:B8	HMOX1	2	0	0	0	5105	0
C2	R	healthy	B:B8	ICAM1	2	0	0	0	5105	0
C2	R	healthy	B:B8	IFNG	2	0	0	0	5105	0
C2	R	healthy	B:B8	IL15	2	0	0	0	5105	0
C2	R	healthy	B:B8	IL1B	2	0	0	0	5105	0
C2	R	healthy	B:B8	IL7	2	0	0	0	5105	0
C2	R	healthy	B:B8	ITGAM	2	0	0	0	5105	0
C2	R	healthy	B:B8	ITGAX	2	0	0	0	5105	0
C2	R	healthy	B:B8	JAK1	2	1	1	0.5	5105	1.08481
C2	R	healthy	B:B8	LYZ	2	0	0	0	5105	0
C2	R	healthy	B:B8	MAFB	2	0	0	0	5105	0
C2	R	healthy	B:B8	MAP1LC3B	2	0	0	0	5105	0
C2	R	healthy	B:B8	MAPK14	2	0	0	0	5105	0
C2	R	healthy	B:B8	NFKB1	2	0	0	0	5105	0
C2	R	healthy	B:B8	NLRP3	2	0	0	0	5105	0
C2	R	healthy	B:B8	OSM	2	0	0	0	5105	0
C2	R	healthy	B:B8	PARP1	2	0	0	0	5105	0
C2	R	healthy	B:B8	PIAS1	2	0	0	0	5105	0
C2	R	healthy	B:B8	PKM	2	2	1	0.5	5105	1.59285
C2	R	healthy	B:B8	PRKAA1	2	2	1	0.5	5105	1.59285
C2	R	healthy	B:B8	PTGS2	2	0	0	0	5105	0
C2	R	healthy	B:B8	RELA	2	0	0	0	5105	0
C2	R	healthy	B:B8	SH3KBP1	2	1	1	0.5	5105	1.08481
C2	R	healthy	B:B8	SMAD3	2	0	0	0	5105	0
C2	R	healthy	B:B8	SOD1	2	1	1	0.5	5105	1.08481
C2	R	healthy	B:B8	STAT3	2	2	2	1	5105	1.59285
C2	R	healthy	B:B8	STAT5A	2	0	0	0	5105	0
C2	R	healthy	B:B8	SYK	2	1	1	0.5	5105	1.08481
C2	R	healthy	B:B8	TLR4	2	0	0	0	5105	0
C2	R	healthy	B:B8	TNF	2	0	0	0	5105	0
C2	R	healthy	B:B9	ACTA2	4	0	0	0	10441	0
C2	R	healthy	B:B9	AHR	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	AKT1	4	0	0	0	10441	0
C2	R	healthy	B:B9	ARNTL	4	0	0	0	10441	0
C2	R	healthy	B:B9	BCL6	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	BECN1	4	0	0	0	10441	0
C2	R	healthy	B:B9	BLNK	4	3	2	0.5	10441	1.3541
C2	R	healthy	B:B9	BRD4	4	0	0	0	10441	0
C2	R	healthy	B:B9	CAT	4	0	0	0	10441	0
C2	R	healthy	B:B9	CD4	4	0	0	0	10441	0
C2	R	healthy	B:B9	CD86	4	0	0	0	10441	0
C2	R	healthy	B:B9	CREB1	4	0	0	0	10441	0
C2	R	healthy	B:B9	CTNNB1	4	0	0	0	10441	0
C2	R	healthy	B:B9	DNMT1	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	FOXP3	4	0	0	0	10441	0
C2	R	healthy	B:B9	GABPA	4	0	0	0	10441	0
C2	R	healthy	B:B9	HIF1A	4	3	3	0.75	10441	1.3541
C2	R	healthy	B:B9	HMOX1	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	ICAM1	4	0	0	0	10441	0
C2	R	healthy	B:B9	IFNG	4	0	0	0	10441	0
C2	R	healthy	B:B9	IL15	4	0	0	0	10441	0
C2	R	healthy	B:B9	IL1B	4	0	0	0	10441	0
C2	R	healthy	B:B9	IL7	4	0	0	0	10441	0
C2	R	healthy	B:B9	ITGAM	4	0	0	0	10441	0
C2	R	healthy	B:B9	ITGAX	4	0	0	0	10441	0
C2	R	healthy	B:B9	JAK1	4	2	2	0.5	10441	1.07005
C2	R	healthy	B:B9	LYZ	4	0	0	0	10441	0
C2	R	healthy	B:B9	MAFB	4	0	0	0	10441	0
C2	R	healthy	B:B9	MAP1LC3B	4	3	3	0.75	10441	1.3541
C2	R	healthy	B:B9	MAPK14	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	NFKB1	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	NLRP3	4	0	0	0	10441	0
C2	R	healthy	B:B9	OSM	4	0	0	0	10441	0
C2	R	healthy	B:B9	PARP1	4	4	2	0.5	10441	1.57506
C2	R	healthy	B:B9	PIAS1	4	0	0	0	10441	0
C2	R	healthy	B:B9	PKM	4	0	0	0	10441	0
C2	R	healthy	B:B9	PRKAA1	4	0	0	0	10441	0
C2	R	healthy	B:B9	PTGS2	4	0	0	0	10441	0
C2	R	healthy	B:B9	RELA	4	0	0	0	10441	0
C2	R	healthy	B:B9	SH3KBP1	4	0	0	0	10441	0
C2	R	healthy	B:B9	SMAD3	4	2	2	0.5	10441	1.07005
C2	R	healthy	B:B9	SOD1	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	STAT3	4	0	0	0	10441	0
C2	R	healthy	B:B9	STAT5A	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	SYK	4	1	1	0.25	10441	0.671802
C2	R	healthy	B:B9	TLR4	4	0	0	0	10441	0
C2	R	healthy	B:B9	TNF	4	1	1	0.25	10441	0.671802
C2	R	healthy	M/DC	ACTA2	14	0	0	0	95818	0
C2	R	healthy	M/DC	AHR	14	19	9	0.642857	95818	1.0929
C2	R	healthy	M/DC	AKT1	14	2	2	0.142857	95818	0.189569
C2	R	healthy	M/DC	ARNTL	14	1	1	0.0714286	95818	0.0992701
C2	R	healthy	M/DC	BCL6	14	2	1	0.0714286	95818	0.189569
C2	R	healthy	M/DC	BECN1	14	6	5	0.357143	95818	0.486238
C2	R	healthy	M/DC	BLNK	14	1	1	0.0714286	95818	0.0992701
C2	R	healthy	M/DC	BRD4	14	8	6	0.428571	95818	0.606999
C2	R	healthy	M/DC	CAT	14	11	8	0.571429	95818	0.764542
C2	R	healthy	M/DC	CD4	14	13	8	0.571429	95818	0.857279
C2	R	healthy	M/DC	CD86	14	13	8	0.571429	95818	0.857279
C2	R	healthy	M/DC	CREB1	14	3	2	0.142857	95818	0.272386
C2	R	healthy	M/DC	CTNNB1	14	6	4	0.285714	95818	0.486238
C2	R	healthy	M/DC	DNMT1	14	17	7	0.5	95818	1.02036
C2	R	healthy	M/DC	FOXP3	14	0	0	0	95818	0
C2	R	healthy	M/DC	GABPA	14	2	2	0.142857	95818	0.189569
C2	R	healthy	M/DC	HIF1A	14	13	7	0.5	95818	0.857279
C2	R	healthy	M/DC	HMOX1	14	9	4	0.285714	95818	0.662317
C2	R	healthy	M/DC	ICAM1	14	15	6	0.428571	95818	0.942141
C2	R	healthy	M/DC	IFNG	14	0	0	0	95818	0
C2	R	healthy	M/DC	IL15	14	0	0	0	95818	0
C2	R	healthy	M/DC	IL1B	14	51	10	0.714286	95818	1.84413
C2	R	healthy	M/DC	IL7	14	0	0	0	95818	0
C2	R	healthy	M/DC	ITGAM	14	0	0	0	95818	0
C2	R	healthy	M/DC	ITGAX	14	4	4	0.285714	95818	0.348865
C2	R	healthy	M/DC	JAK1	14	8	7	0.5	95818	0.606999
C2	R	healthy	M/DC	LYZ	14	828	13	0.928571	95818	4.47065
C2	R	healthy	M/DC	MAFB	14	14	8	0.571429	95818	0.90061
C2	R	healthy	M/DC	MAP1LC3B	14	13	6	0.428571	95818	0.857279
C2	R	healthy	M/DC	MAPK14	14	3	3	0.214286	95818	0.272386
C2	R	healthy	M/DC	NFKB1	14	11	7	0.5	95818	0.764542
C2	R	healthy	M/DC	NLRP3	14	10	5	0.357143	95818	0.714735
C2	R	healthy	M/DC	OSM	14	0	0	0	95818	0
C2	R	healthy	M/DC	PARP1	14	10	7	0.5	95818	0.714735
C2	R	healthy	M/DC	PIAS1	14	7	5	0.357143	95818	0.54844
C2	R	healthy	M/DC	PKM	14	49	12	0.857143	95818	1.81056
C2	R	healthy	M/DC	PRKAA1	14	1	1	0.0714286	95818	0.0992701
C2	R	healthy	M/DC	PTGS2	14	15	7	0.5	95818	0.942141
C2	R	healthy	M/DC	RELA	14	0	0	0	95818	0
C2	R	healthy	M/DC	SH3KBP1	14	8	6	0.428571	95818	0.606999
C2	R	healthy	M/DC	SMAD3	14	0	0	0	95818	0
C2	R	healthy	M/DC	SOD1	14	27	11	0.785714	95818	1.33969
C2	R	healthy	M/DC	STAT3	14	10	5	0.357143	95818	0.714735
C2	R	healthy	M/DC	STAT5A	14	4	4	0.285714	95818	0.348865
C2	R	healthy	M/DC	SYK	14	21	11	0.785714	95818	1.16054
C2	R	healthy	M/DC	TLR4	14	0	0	0	95818	0
C2	R	healthy	M/DC	TNF	14	7	4	0.285714	95818	0.54844
C2	R	healthy	NK	ACTA2	4	0	0	0	19296	0
C2	R	healthy	NK	AHR	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	AKT1	4	0	0	0	19296	0
C2	R	healthy	NK	ARNTL	4	0	0	0	19296	0
C2	R	healthy	NK	BCL6	4	0	0	0	19296	0
C2	R	healthy	NK	BECN1	4	2	2	0.5	19296	0.711225
C2	R	healthy	NK	BLNK	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	BRD4	4	3	2	0.5	19296	0.937945
C2	R	healthy	NK	CAT	4	2	2	0.5	19296	0.711225
C2	R	healthy	NK	CD4	4	0	0	0	19296	0
C2	R	healthy	NK	CD86	4	0	0	0	19296	0
C2	R	healthy	NK	CREB1	4	0	0	0	19296	0
C2	R	healthy	NK	CTNNB1	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	DNMT1	4	0	0	0	19296	0
C2	R	healthy	NK	FOXP3	4	0	0	0	19296	0
C2	R	healthy	NK	GABPA	4	0	0	0	19296	0
C2	R	healthy	NK	HIF1A	4	4	2	0.5	19296	1.12264
C2	R	healthy	NK	HMOX1	4	0	0	0	19296	0
C2	R	healthy	NK	ICAM1	4	0	0	0	19296	0
C2	R	healthy	NK	IFNG	4	0	0	0	19296	0
C2	R	healthy	NK	IL15	4	0	0	0	19296	0
C2	R	healthy	NK	IL1B	4	0	0	0	19296	0
C2	R	healthy	NK	IL7	4	0	0	0	19296	0
C2	R	healthy	NK	ITGAM	4	0	0	0	19296	0
C2	R	healthy	NK	ITGAX	4	0	0	0	19296	0
C2	R	healthy	NK	JAK1	4	2	2	0.5	19296	0.711225
C2	R	healthy	NK	LYZ	4	0	0	0	19296	0
C2	R	healthy	NK	MAFB	4	0	0	0	19296	0
C2	R	healthy	NK	MAP1LC3B	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	MAPK14	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	NFKB1	4	4	2	0.5	19296	1.12264
C2	R	healthy	NK	NLRP3	4	0	0	0	19296	0
C2	R	healthy	NK	OSM	4	0	0	0	19296	0
C2	R	healthy	NK	PARP1	4	5	2	0.5	19296	1.27849
C2	R	healthy	NK	PIAS1	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	PKM	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	PRKAA1	4	0	0	0	19296	0
C2	R	healthy	NK	PTGS2	4	0	0	0	19296	0
C2	R	healthy	NK	RELA	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	SH3KBP1	4	1	1	0.25	19296	0.417553
C2	R	healthy	NK	SMAD3	4	0	0	0	19296	0
C2	R	healthy	NK	SOD1	4	4	3	0.75	19296	1.12264
C2	R	healthy	NK	STAT3	4	2	2	0.5	19296	0.711225
C2	R	healthy	NK	STAT5A	4	0	0	0	19296	0
C2	R	healthy	NK	SYK	4	0	0	0	19296	0
C2	R	healthy	NK	TLR4	4	0	0	0	19296	0
C2	R	healthy	NK	TNF	4	0	0	0	19296	0
C2	R	healthy	T	ACTA2	770	26	26	0.0337662	1.734e+06	0.139712
C2	R	healthy	T	AHR	770	115	105	0.136364	1.734e+06	0.508748
C2	R	healthy	T	AKT1	770	33	33	0.0428571	1.734e+06	0.174215
C2	R	healthy	T	ARNTL	770	70	64	0.0831169	1.734e+06	0.339106
C2	R	healthy	T	BCL6	770	13	13	0.0168831	1.734e+06	0.072294
C2	R	healthy	T	BECN1	770	116	106	0.137662	1.734e+06	0.51221
C2	R	healthy	T	BLNK	770	9	8	0.0103896	1.734e+06	0.0506012
C2	R	healthy	T	BRD4	770	102	93	0.120779	1.734e+06	0.462625
C2	R	healthy	T	CAT	770	71	68	0.0883117	1.734e+06	0.343206
C2	R	healthy	T	CD4	770	145	127	0.164935	1.734e+06	0.607709
C2	R	healthy	T	CD86	770	0	0	0	1.734e+06	0
C2	R	healthy	T	CREB1	770	82	81	0.105195	1.734e+06	0.387231
C2	R	healthy	T	CTNNB1	770	45	43	0.0558442	1.734e+06	0.230728
C2	R	healthy	T	DNMT1	770	174	154	0.2	1.734e+06	0.694877
C2	R	healthy	T	FOXP3	770	42	26	0.0337662	1.734e+06	0.216896
C2	R	healthy	T	GABPA	770	23	23	0.0298701	1.734e+06	0.124553
C2	R	healthy	T	HIF1A	770	148	124	0.161039	1.734e+06	0.617087
C2	R	healthy	T	HMOX1	770	0	0	0	1.734e+06	0
C2	R	healthy	T	ICAM1	770	78	63	0.0818182	1.734e+06	0.371445
C2	R	healthy	T	IFNG	770	262	113	0.146753	1.734e+06	0.920666
C2	R	healthy	T	IL15	770	20	18	0.0233766	1.734e+06	0.10916
C2	R	healthy	T	IL1B	770	0	0	0	1.734e+06	0
C2	R	healthy	T	IL7	770	1	1	0.0012987	1.734e+06	0.00575046
C2	R	healthy	T	ITGAM	770	0	0	0	1.734e+06	0
C2	R	healthy	T	ITGAX	770	0	0	0	1.734e+06	0
C2	R	healthy	T	JAK1	770	558	385	0.5	1.734e+06	1.43936
C2	R	healthy	T	LYZ	770	1	1	0.0012987	1.734e+06	0.00575046
C2	R	healthy	T	MAFB	770	5	4	0.00519481	1.734e+06	0.0284272
C2	R	healthy	T	MAP1LC3B	770	246	197	0.255844	1.734e+06	0.883226
C2	R	healthy	T	MAPK14	770	37	34	0.0441558	1.734e+06	0.19341
