etcm_target_name	mapped_gene_symbol	mapped_gene_name	mapped_entrezgene	mapped_ensembl_gene	mapped_uniprot	mapping_confidence	mapping_source	mapping_rationale	candidate_preview
Proteasome subunit beta type-5	PSMB5	Proteasome subunit beta type-5			P28074	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:PSMB5:Proteasome subunit beta type-5:P28074: || MyGene_query:PSMB11:proteasome subunit beta 11:A5LHX3:22.465578 || MyGene_query:PSMB8:proteasome 20S subunit beta 8:P28062:16.984634 || MyGene_query:LOC100422275:proteasome 20S subunit beta 5 pseudogene::16.000925 || MyGene_query:PSMB5:proteasome 20S subunit beta 5:P28074:9.841849
Retinoic acid receptor RXR-alpha	RXRA	Retinoic acid receptor RXR-alpha			P19793	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:RXRA:Retinoic acid receptor RXR-alpha:P19793: || MyGene_query:RXRA:retinoid X receptor alpha:P19793:8.651087 || MyGene_query:TGIF1:TGFB induced factor homeobox 1:Q15583:7.6213036
SUMO-activating enzyme subunit 1	SAE1	SUMO-activating enzyme subunit 1			Q9UBE0	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:SAE1:SUMO-activating enzyme subunit 1:Q9UBE0: || MyGene_query:SAE1:SUMO1 activating enzyme subunit 1:Q9UBE0:27.085627 || MyGene_query:UBA2:ubiquitin like modifier activating enzyme 2:Q9UBT2:22.870457
SUMO-conjugating enzyme UBC9	UBE2I	SUMO-conjugating enzyme UBC9			P63279	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:UBE2I:SUMO-conjugating enzyme UBC9:P63279: || MyGene_query:UBE2I:ubiquitin conjugating enzyme E2 I:P63279:13.976749
Sentrin-specific protease 8	SENP8	Sentrin-specific protease 8			Q96LD8	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:SENP8:Sentrin-specific protease 8:Q96LD8: || MyGene_query:SENP8:SUMO peptidase family member, NEDD8 specific:Q96LD8:28.875324
Sex hormone-binding globulin	SHBG	Sex hormone-binding globulin			P04278	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:SHBG:Sex hormone-binding globulin:P04278: || MyGene_query:SHBG:sex hormone binding globulin:P04278:185.83562
Solute carrier organic anion transporter family member 2B1	SLCO2B1	Solute carrier organic anion transporter family member 2B1			O94956	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:SLCO2B1:Solute carrier organic anion transporter family member 2B1:O94956: || MyGene_query:SLCO2B1:solute carrier organic anion transporter family member 2B1:O94956:199.85179
Taste receptor type 2 member 31	TAS2R31	Taste receptor type 2 member 31			P59538	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:TAS2R31:Taste receptor type 2 member 31:P59538: || MyGene_query:TAS2R31:taste 2 receptor member 31:P59538:35.848568
Tyrosine-protein phosphatase non-receptor type 11	PTPN11	Tyrosine-protein phosphatase non-receptor type 11			Q06124	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:PTPN11:Tyrosine-protein phosphatase non-receptor type 11:Q06124: || MyGene_query:PTPN11P2:PTPN11 pseudogene 2::17.73706 || MyGene_query:PTPN11P4:PTPN11 pseudogene 4::17.335884 || MyGene_query:PTPN11P1:PTPN11 pseudogene 1::17.335884 || MyGene_query:LINC00673:long intergenic non-protein coding RNA 673::17.14242
Tyrosine-protein phosphatase non-receptor type 6	PTPN6	Tyrosine-protein phosphatase non-receptor type 6			P29350	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:PTPN6:Tyrosine-protein phosphatase non-receptor type 6:P29350: || MyGene_query:PTPN6:protein tyrosine phosphatase non-receptor type 6:P29350:10.632212 || MyGene_query:PTPN11:protein tyrosine phosphatase non-receptor type 11:Q06124:6.96628
Vascular endothelial growth factor receptor 2	KDR	Vascular endothelial growth factor receptor 2			P35968	exact	UniProt_exact_protein_name	UniProt reviewed human protein-name exact match	UniProt_exact_protein_name:KDR:Vascular endothelial growth factor receptor 2:P35968: || MyGene_query:VEGFD:vascular endothelial growth factor D:O43915:30.63529 || MyGene_query:VEGFC:vascular endothelial growth factor C:P49767:28.722893 || MyGene_query:PGF:placental growth factor:P49763:22.05872 || MyGene_query:ECSCR:endothelial cell surface expressed chemotaxis and apoptosis regulator:Q19T08:20.457191
beta-Secretase (BACE-1)	BACE1	beta-secretase 1			P56817	high	manual_alias	Manual alias override for known target name	MyGene_query:BACE1:beta-secretase 1:P56817:14.342687
