priority_class	priority_score	ingredient_id	ingredient_name	pubchem_id	inchikey	match_status	match_method	lincs_source	pert_id	pert_iname	pert_type	gse92742_signature_count	gse92742_cell_count	gse92742_cells
secondary_literature_supported	10.0	HBIN031581	Juglone	3806	KQPYUDDGWXQXHS-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN032355	Kumujian b	5320161	PGFKZUOYIFDMQJ-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN032371	Kurarinone	11982640	LTTQKYMNTNISSZ-MWTRTKDXSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN033803	Luteolin	5280445	IQPNAANSBPBGFQ-UHFFFAOYSA-N	covered	inchikey_exact	GSE92742	BRD-K05236810	luteolin	trt_cp	0	0	
secondary_literature_supported	10.0	HBIN033803	Luteolin	5280445	IQPNAANSBPBGFQ-UHFFFAOYSA-N	covered	inchikey_exact	GSE70138	BRD-K05236810	luteolin	trt_cp	0	0	
secondary_literature_supported	10.0	HBIN037568	Nuciferine	10146	ORJVQPIHKOARKV-OAHLLOKOSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN037642	Obacunone	119041	MAYJEFRPIKEYBL-OASIGRBWSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN038919	Patchouli alcohol	10955174	GGHMUJBZYLPWFD-CUZKYEQNSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN039240	Perillyl alcohol	10819	NDTYTMIUWGWIMO-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN039439	Phellodendrine	3081405	RBBVPNQTBKHOEQ-KKSFZXQISA-O	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN040107	Piplartine	637858	VABYUUZNAVQNPG-BQYQJAHWSA-N	covered	inchikey_exact	GSE92742	BRD-K24132293	piperlongumine	trt_cp	0	0	
secondary_literature_supported	10.0	HBIN042438	Rosmarinic acid	5281792	DOUMFZQKYFQNTF-WUTVXBCWSA-N	covered	inchikey_exact	GSE92742	BRD-K20313525	rosmarinic-acid	trt_cp	0	0	
secondary_literature_supported	10.0	HBIN044062	Sinapic acid	637775	PCMORTLOPMLEFB-ONEGZZNKSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
secondary_literature_supported	10.0	HBIN045566	Tatarine	1123	XOAAWQZATWQOTB-UHFFFAOYSA-N	not_covered_by_exact_id	no_exact_identifier_match					0	0	
