accession	probe_id	gene_symbol	gene_title	gene_id	n_case	n_control	mean_case	mean_control	log2fc	t_stat	p_value	fdr
GSE59071	8143387	MKRN1	makorin ring finger protein 1	23608	74	11	9.65854	10.5023	-0.843792	-15.1796	2.58031e-12	1.12157e-10
GSE59071	8129627	VNN3	vanin 3	55350	74	11	5.16788	4.46169	0.706197	8.57356	2.61861e-12	1.13674e-10
GSE59071	8149979	NUGGC	nuclear GTPase, germinal center associated	389643	74	11	6.51473	5.77951	0.735222	9.86377	2.67432e-12	1.1579e-10
GSE59071	7963670	MAP3K12	mitogen-activated protein kinase kinase kinase 12	7786	74	11	6.81844	6.29358	0.524867	9.78484	2.67217e-12	1.1579e-10
GSE59071	7899821	KIAA1522	KIAA1522	57648	74	11	8.49034	9.05794	-0.567606	-9.00061	2.7041e-12	1.16927e-10
GSE59071	8097417	JADE1	jade family PHD finger 1	79960	74	11	7.28062	6.93326	0.347361	10.1277	2.75285e-12	1.1888e-10
GSE59071	8043945	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	9448	74	11	8.09594	7.19085	0.905092	10.871	2.76221e-12	1.1913e-10
GSE59071	8154178	JAK2	Janus kinase 2	3717	74	11	8.56728	7.51087	1.05641	15.4574	2.79053e-12	1.20063e-10
GSE59071	8158250	CERCAM	cerebral endothelial cell adhesion molecule	51148	74	11	7.11703	6.44111	0.675919	8.97256	2.79106e-12	1.20063e-10
GSE59071	8011671	GGT6	gamma-glutamyltransferase 6	124975	74	11	8.88418	9.61477	-0.730593	-8.58061	2.79704e-12	1.20164e-10
GSE59071	8048283	SLC11A1	solute carrier family 11 member 1	6556	74	11	7.10067	5.77715	1.32352	9.30047	2.81137e-12	1.20624e-10
GSE59071	8065089	KIF16B	kinesin family member 16B	55614	74	11	7.96968	8.68146	-0.711787	-9.30385	2.83319e-12	1.21404e-10
GSE59071	7946903	USH1C	USH1 protein network component harmonin	10083	74	11	8.82962	9.56777	-0.738152	-8.6278	2.84836e-12	1.21897e-10
GSE59071	8022927	SLC39A6	solute carrier family 39 member 6	25800	74	11	7.83177	7.0128	0.818964	11.2063	2.89611e-12	1.23781e-10
GSE59071	8120719	CD109	CD109 molecule	135228	74	11	6.25313	5.12327	1.12985	9.29744	2.96774e-12	1.26679e-10
GSE59071	8132270	NPSR1	neuropeptide S receptor 1	387129	74	11	6.71086	5.41379	1.29708	8.46089	3.07872e-12	1.31248e-10
GSE59071	8105013	EGFLAM	EGF like, fibronectin type III and laminin G domains	133584	74	11	6.08713	5.54602	0.541109	8.52155	3.10109e-12	1.32033e-10
GSE59071	8080511	CACNA1D	calcium voltage-gated channel subunit alpha1 D	776	74	11	6.46506	7.1761	-0.711042	-9.97364	3.12375e-12	1.32827e-10
GSE59071	7936242	ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	85450	74	11	7.29508	6.66904	0.626042	9.27233	3.18836e-12	1.35401e-10
GSE59071	7894846				74	11	10.7022	11.0375	-0.335314	-9.53033	3.19983e-12	1.35715e-10
GSE59071	8173217	ARHGEF9	Cdc42 guanine nucleotide exchange factor 9	23229	74	11	7.83951	8.82393	-0.984428	-12.964	3.23735e-12	1.37132e-10
GSE59071	8069553	NRIP1	nuclear receptor interacting protein 1	8204	74	11	9.19163	9.99577	-0.804142	-12.9856	3.2514e-12	1.37552e-10
GSE59071	7976425	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2	78990	74	11	7.2232	6.39258	0.830621	11.6672	3.26515e-12	1.37958e-10
GSE59071	8067409	LAMA5	laminin subunit alpha 5	3911	74	11	8.00242	7.40026	0.602167	9.97897	3.42879e-12	1.44688e-10
GSE59071	8150204				74	11	8.05735	8.9141	-0.856754	-12.423	3.4576e-12	1.45719e-10
GSE59071	8115099	PDGFRB	platelet derived growth factor receptor beta	5159	74	11	8.40736	6.87945	1.52791	10.6619	3.4911e-12	1.46944e-10
GSE59071	8024829	MPND	MPN domain containing	84954	74	11	7.64109	8.5326	-0.891505	-15.0732	3.59244e-12	1.51019e-10
GSE59071	7902541	IFI44L	interferon induced protein 44 like	10964	74	11	6.94369	5.53145	1.41224	9.76376	3.60052e-12	1.51167e-10
GSE59071	8056005	ACVR1	activin A receptor type 1	90	74	11	7.79365	7.10098	0.692673	13.4452	3.60992e-12	1.51371e-10
GSE59071	7970716	LNX2	ligand of numb-protein X 2	222484	74	11	9.20576	9.94723	-0.741472	-9.30043	3.61831e-12	1.51532e-10
GSE59071	8017098				74	11	5.68272	5.05442	0.628304	10.1555	3.63879e-12	1.52198e-10
GSE59071	7945058	FAM118B	family with sequence similarity 118 member B	79607	74	11	9.16538	9.71246	-0.547085	-9.33542	3.6656e-12	1.53126e-10
GSE59071	7932826	KIAA1462	KIAA1462	57608	74	11	7.12246	6.54464	0.577813	9.74212	3.69151e-12	1.54015e-10
GSE59071	8150103	GTF2E2	general transcription factor IIE subunit 2	2961	74	11	8.07131	7.50105	0.570261	11.968	3.74409e-12	1.56013e-10
GSE59071	7944991	STT3A	STT3A, catalytic subunit of the oligosaccharyltransferase complex	3703	74	11	11.0919	10.4707	0.621237	12.2309	3.76432e-12	1.5666e-10
GSE59071	8035351	JAK3	Janus kinase 3	3718	74	11	7.72769	6.39361	1.33408	12.0945	3.86795e-12	1.60771e-10
GSE59071	8062349	RPN2	ribophorin II	6185	74	11	10.5471	9.8478	0.699264	15.2259	3.94258e-12	1.63669e-10
GSE59071	8114511	MZB1	marginal zone B and B1 cell specific protein	51237	74	11	9.21327	7.3616	1.85166	12.6579	3.98291e-12	1.65137e-10
GSE59071	7995976	CPNE2	copine 2	221184	74	11	9.41876	10.2562	-0.837478	-12.3695	4.02698e-12	1.66756e-10
GSE59071	7980680	FOXN3	forkhead box N3	1112	74	11	8.93848	9.635	-0.696518	-10.6134	4.04927e-12	1.67471e-10
GSE59071	8034873	ADGRE2	adhesion G protein-coupled receptor E2	30817	74	11	8.31196	6.50275	1.80922	11.9744	4.05929e-12	1.67676e-10
GSE59071	7919055	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	3158	74	11	7.65697	12.4196	-4.76262	-15.7721	4.07328e-12	1.68046e-10
GSE59071	8010061	SPHK1	sphingosine kinase 1	8877	74	11	7.16622	6.34295	0.823272	9.30427	4.08545e-12	1.68339e-10
GSE59071	8031213	LILRA1	leukocyte immunoglobulin like receptor A1	11024	74	11	7.09022	5.99065	1.09956	9.67844	4.11623e-12	1.69397e-10
GSE59071	8163149	PTPN3	protein tyrosine phosphatase, non-receptor type 3	5774	74	11	7.90938	8.64211	-0.732727	-9.45527	4.12716e-12	1.69431e-10
GSE59071	7939492	C11orf96	chromosome 11 open reading frame 96	387763	74	11	7.92421	7.29973	0.624477	10.79	4.12724e-12	1.69431e-10
GSE59071	7968351	MEDAG	mesenteric estrogen dependent adipogenesis	84935	74	11	7.11376	5.76909	1.34467	9.49843	4.20529e-12	1.72422e-10
GSE59071	8165011	FCN1	ficolin 1	2219	74	11	7.61331	6.79808	0.815232	9.17205	4.28409e-12	1.75437e-10
GSE59071	8054135	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	11320	74	11	9.16948	10.1705	-1.00097	-12.2481	4.35629e-12	1.78171e-10
GSE59071	8165508	NRARP	NOTCH-regulated ankyrin repeat protein	441478	74	11	8.66442	9.28964	-0.625214	-9.87602	4.36157e-12	1.78171e-10
GSE59071	7902617	SAMD13	sterile alpha motif domain containing 13	148418	74	11	6.08248	7.521	-1.43852	-13.2919	4.46216e-12	1.82056e-10
GSE59071	8142270	NRCAM	neuronal cell adhesion molecule	4897	74	11	5.56562	4.69106	0.874562	8.08032	4.51189e-12	1.8386e-10
GSE59071	8173825	RPS6KA6	ribosomal protein S6 kinase A6	27330	74	11	6.15452	8.17832	-2.0238	-15.362	4.53899e-12	1.84737e-10
GSE59071	8101828	TSPAN5	tetraspanin 5	10098	74	11	7.08908	6.32779	0.761291	10.2299	4.74198e-12	1.92763e-10
GSE59071	8134435	LMTK2	lemur tyrosine kinase 2	22853	74	11	8.88106	9.64245	-0.761389	-12.5284	4.77737e-12	1.93965e-10
GSE59071	8096301	SPP1	secreted phosphoprotein 1	6696	74	11	8.23088	5.92031	2.31057	9.88766	4.78338e-12	1.93972e-10
GSE59071	7919067	REG4	regenerating family member 4	83998	74	11	10.6768	7.66356	3.0132	14.611	4.94874e-12	2.00433e-10
GSE59071	8004133	RPAIN	RPA interacting protein	84268	74	11	7.94443	8.33981	-0.395379	-10.0369	5.03918e-12	2.03848e-10
GSE59071	7953303	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6	55200	74	11	7.49858	8.74083	-1.24225	-11.4617	5.05005e-12	2.04039e-10
GSE59071	7912898	ATP13A2	ATPase 13A2	23400	74	11	8.61871	8.20571	0.413004	8.99136	5.06623e-12	2.04445e-10
GSE59071	8162216	SHC3	SHC adaptor protein 3	53358	74	11	7.01825	6.27807	0.740176	8.05614	5.14653e-12	2.07433e-10
GSE59071	8073062	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	9582	74	11	7.61215	10.2665	-2.6543	-18.2119	5.16757e-12	2.08029e-10
GSE59071	8131301				74	11	4.20068	4.44075	-0.240068	-8.32448	5.19064e-12	2.08705e-10
GSE59071	8115681	PANK3	pantothenate kinase 3	79646	74	11	9.23209	10.0091	-0.777028	-13.2966	5.39567e-12	2.16687e-10
GSE59071	7910600	KIAA1804	mixed lineage kinase 4	84451	74	11	7.32242	7.90083	-0.578417	-10.8235	5.5325e-12	2.21659e-10
GSE59071	8140129	ABHD11	abhydrolase domain containing 11	83451	74	11	8.89046	9.40275	-0.512283	-8.42341	5.53281e-12	2.21659e-10
GSE59071	8035896	TSHZ3	teashirt zinc finger homeobox 3	57616	74	11	6.98743	6.31771	0.669723	9.05387	5.58408e-12	2.23444e-10
GSE59071	8023212	ZBTB7C	zinc finger and BTB domain containing 7C	201501	74	11	8.32046	9.27302	-0.952565	-10.7266	5.63081e-12	2.25043e-10
GSE59071	8096556	METAP1	methionyl aminopeptidase 1	23173	74	11	9.38583	9.981	-0.595168	-10.8763	5.70159e-12	2.27598e-10
GSE59071	7921652	SLAMF1	signaling lymphocytic activation molecule family member 1	6504	74	11	6.54107	5.24691	1.29416	10.3309	5.71034e-12	2.27674e-10
GSE59071	7919314	FMO5	flavin containing monooxygenase 5	2330	74	11	7.65721	9.59453	-1.93732	-11.8308	5.73643e-12	2.2844e-10
GSE59071	8143684	PDIA4	protein disulfide isomerase family A member 4	9601	74	11	10.9809	9.96601	1.0149	16.619	5.78614e-12	2.30144e-10
GSE59071	7926983	CREM	cAMP responsive element modulator	1390	74	11	5.73818	5.31001	0.428175	10.0041	5.81037e-12	2.30832e-10
GSE59071	7910427	GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	2590	74	11	9.47245	8.76423	0.708216	13.6398	5.85423e-12	2.32297e-10
GSE59071	8100615	UBA6	ubiquitin like modifier activating enzyme 6	55236	74	11	8.6859	8.14736	0.538537	12.2068	5.90439e-12	2.34008e-10
GSE59071	7921868	FCGR3A	Fc fragment of IgG receptor IIIa	2214	74	11	6.78296	5.49182	1.29114	11.5424	6.07118e-12	2.40121e-10
GSE59071	8078066	FGD5	FYVE, RhoGEF and PH domain containing 5	152273	74	11	6.65293	5.82949	0.82344	11.1066	6.07496e-12	2.40121e-10
GSE59071	7983413	DUOX1	dual oxidase 1	53905	74	11	6.25481	5.72052	0.534287	9.19837	6.0803e-12	2.40121e-10
GSE59071	7901140	MAST2	microtubule associated serine/threonine kinase 2	23139	74	11	8.84365	9.95222	-1.10857	-14.4683	6.13465e-12	2.4198e-10
GSE59071	7895472				74	11	10.7598	10.1426	0.61717	10.8891	6.14256e-12	2.42005e-10
GSE59071	7921873	FCGR3B	Fc fragment of IgG receptor IIIb	2215	74	11	8.81327	6.40407	2.4092	12.5616	6.20359e-12	2.4412e-10
GSE59071	8089714	LSAMP	limbic system-associated membrane protein	4045	74	11	7.0576	6.10556	0.952042	10.6267	6.28092e-12	2.46871e-10
GSE59071	8150318	FGFR1	fibroblast growth factor receptor 1	2260	74	11	7.27472	6.64016	0.634554	9.55761	6.31383e-12	2.47872e-10
GSE59071	8009784	MRPS7	mitochondrial ribosomal protein S7	51081	74	11	8.95629	9.35999	-0.403702	-9.19064	6.37322e-12	2.49908e-10
GSE59071	8089970	ILDR1	immunoglobulin like domain containing receptor 1	286676	74	11	7.5855	8.40984	-0.824333	-10.9479	6.41781e-12	2.5136e-10
GSE59071	8007008	THRA	thyroid hormone receptor, alpha	7067	74	11	8.30228	9.05833	-0.75605	-13.3192	6.44008e-12	2.51936e-10
GSE59071	8166784	TSPAN7	tetraspanin 7	7102	74	11	9.39385	11.0375	-1.64367	-14.1475	6.45745e-12	2.52022e-10
GSE59071	8052689	SPRED2	sprouty related EVH1 domain containing 2	200734	74	11	8.90083	9.45457	-0.553738	-11.0737	6.45604e-12	2.52022e-10
GSE59071	8171172	MXRA5	matrix remodeling associated 5	25878	74	11	9.67413	7.1438	2.53033	15.4769	6.57304e-12	2.56233e-10
GSE59071	8049544	LRRFIP1	LRR binding FLII interacting protein 1	9208	74	11	6.64377	6.01516	0.628616	9.28567	6.6915e-12	2.6029e-10
GSE59071	8163383	SUSD1	sushi domain containing 1	64420	74	11	8.48315	8.92208	-0.438921	-10.1567	6.69276e-12	2.6029e-10
GSE59071	8070584	TMPRSS3	transmembrane protease, serine 3	64699	74	11	6.17428	5.55383	0.620452	9.72018	6.72768e-12	2.61342e-10
GSE59071	8083214	CHST2	carbohydrate sulfotransferase 2	9435	74	11	8.12286	7.52681	0.596053	10.3648	6.80155e-12	2.63903e-10
GSE59071	8064539	CPXM1	carboxypeptidase X, M14 family member 1	56265	74	11	7.21762	6.22948	0.988146	10.0984	6.92364e-12	2.68015e-10
GSE59071	8137874	CARD11	caspase recruitment domain family member 11	84433	74	11	7.3617	6.40529	0.956412	11.7626	6.91639e-12	2.68015e-10
GSE59071	8170428	MTM1	myotubularin 1	4534	74	11	7.49829	8.63817	-1.13988	-12.5399	7.1181e-12	2.74903e-10
GSE59071	8069178	ADARB1	adenosine deaminase, RNA specific B1	104	74	11	7.26347	6.56451	0.698963	10.9254	7.1154e-12	2.74903e-10
GSE59071	7906919	RGS4	regulator of G-protein signaling 4	5999	74	11	6.38033	5.46292	0.917414	8.8512	7.19705e-12	2.77307e-10
GSE59071	7932243	FAM171A1	family with sequence similarity 171 member A1	221061	74	11	8.6896	9.13701	-0.447417	-10.2066	7.19001e-12	2.77307e-10
GSE59071	7956867	ELAC2	elaC ribonuclease Z 2	60528	74	11	6.25688	7.09283	-0.835943	-16.5891	7.23846e-12	2.7858e-10
GSE59071	8151042	TTPA	alpha tocopherol transfer protein	7274	74	11	6.07429	7.1692	-1.0949	-14.1687	7.54448e-12	2.90022e-10
GSE59071	7946983	SAA2	serum amyloid A2	6289	74	11	7.09488	5.57604	1.51884	11.2567	7.55564e-12	2.90116e-10
GSE59071	7909441	G0S2	G0/G1 switch 2	50486	74	11	9.22296	7.80017	1.42279	9.0958	7.58158e-12	2.90776e-10
GSE59071	8097692	EDNRA	endothelin receptor type A	1909	74	11	7.82799	5.81886	2.00913	11.0187	7.64901e-12	2.93024e-10
GSE59071	8044346	LINC01123	long intergenic non-protein coding RNA 1123	440894	74	11	8.36908	9.42132	-1.05224	-11.0952	7.69998e-12	2.94637e-10
GSE59071	8016094	GJC1	gap junction protein gamma 1	10052	74	11	7.13476	6.19294	0.941826	9.78981	7.85601e-12	2.99975e-10
GSE59071	8041122	PPP1CB	protein phosphatase 1 catalytic subunit beta	5500	74	11	10.5815	11.0429	-0.461323	-11.5877	7.85752e-12	2.99975e-10
GSE59071	7984245	SLC51B	solute carrier family 51 beta subunit	123264	74	11	8.12455	10.2016	-2.07707	-12.9789	7.93099e-12	3.02433e-10
GSE59071	8065569	BCL2L1	BCL2 like 1	598	74	11	9.34764	8.89584	0.451797	9.97571	7.95954e-12	3.03174e-10
GSE59071	8176574				74	11	6.59829	5.74591	0.85238	10.7125	8.02287e-12	3.05236e-10
GSE59071	8059905	COL6A3	collagen type VI alpha 3 chain	1293	74	11	9.70244	7.34298	2.35947	13.0426	8.10075e-12	3.07847e-10
GSE59071	8080084	MANF	mesencephalic astrocyte derived neurotrophic factor	7873	74	11	10.0804	9.38861	0.691752	15.1279	8.16627e-12	3.09983e-10
GSE59071	7902594	PRKACB	protein kinase cAMP-activated catalytic subunit beta	5567	74	11	9.09878	9.94709	-0.848304	-10.7296	8.20981e-12	3.1128e-10
GSE59071	8093230	RUBCN	RUN and cysteine rich domain containing beclin 1 interacting protein	9711	74	11	8.42369	7.89994	0.523745	10.7757	8.23528e-12	3.1189e-10
GSE59071	7960850	SLC2A14	solute carrier family 2 member 14	144195	74	11	7.07316	6.04213	1.03103	11.1966	8.5218e-12	3.22374e-10
GSE59071	8116418	GFPT2	glutamine-fructose-6-phosphate transaminase 2	9945	74	11	6.84223	5.61103	1.23121	8.50888	8.56318e-12	3.23571e-10
GSE59071	8005707	MAP2K3	mitogen-activated protein kinase kinase 3	5606	74	11	8.94113	8.40228	0.538844	10.7812	8.66159e-12	3.26918e-10
GSE59071	8071036	S100B	S100 calcium binding protein B	6285	74	11	6.31879	5.53725	0.781541	9.95783	8.68687e-12	3.27501e-10
GSE59071	8144866	NAT2	N-acetyltransferase 2	10	74	11	6.40161	7.6676	-1.26599	-10.7628	8.78482e-12	3.30467e-10
GSE59071	8153474	TSTA3	tissue specific transplantation antigen P35B	7264	74	11	10.1748	9.21874	0.956011	11.6498	8.78541e-12	3.30467e-10
GSE59071	8007446	IFI35	interferon induced protein 35	3430	74	11	8.65091	7.82562	0.825286	12.5259	8.80624e-12	3.30876e-10
GSE59071	8035249	NR2F6	nuclear receptor subfamily 2 group F member 6	2063	74	11	9.60247	10.0631	-0.460651	-9.2385	9.27732e-12	3.48182e-10
GSE59071	8000590	SULT1A1	sulfotransferase family 1A member 1	6817	74	11	6.44839	7.49257	-1.04417	-13.5561	9.35444e-12	3.50681e-10
GSE59071	8095163	EXOC1	exocyst complex component 1	55763	74	11	8.3191	8.699	-0.379904	-10.003	9.45166e-12	3.53926e-10
GSE59071	8046078	B3GALT1	beta-1,3-galactosyltransferase 1	8708	74	11	7.75314	9.26782	-1.51467	-8.68924	9.52847e-12	3.56401e-10
GSE59071	7931852	TUBAL3	tubulin alpha like 3	79861	74	11	6.29216	8.05777	-1.76561	-12.8247	9.54822e-12	3.56739e-10
GSE59071	8022342	AFG3L2	AFG3 like matrix AAA peptidase subunit 2	10939	74	11	8.27713	9.14748	-0.870347	-13.4196	9.6032e-12	3.5839e-10
GSE59071	7973530	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial	5106	74	11	8.34894	9.30695	-0.958004	-12.1615	9.8808e-12	3.68041e-10
GSE59071	8047565	FAM117B	family with sequence similarity 117 member B	150864	74	11	8.81056	9.43931	-0.62875	-10.7465	9.88393e-12	3.68041e-10
GSE59071	7961111	CLEC1A	C-type lectin domain family 1 member A	51267	74	11	5.96348	5.0205	0.942977	10.8323	9.9517e-12	3.7015e-10
GSE59071	8041542	GALM	galactose mutarotase	130589	74	11	8.63528	9.41933	-0.784051	-9.18577	9.97454e-12	3.70585e-10
GSE59071	8073430	ACO2	aconitase 2	50	74	11	10.003	10.7712	-0.768132	-11.9825	1.02282e-11	3.79585e-10
GSE59071	7951284	MMP3	matrix metallopeptidase 3	4314	74	11	9.94587	5.14971	4.79616	13.4712	1.06342e-11	3.94212e-10
GSE59071	8105908	OCLN	occludin	100506658	74	11	9.7527	10.8943	-1.1416	-8.5433	1.09e-11	4.03167e-10
GSE59071	8126121	BTBD9	BTB domain containing 9	114781	74	11	7.29716	7.77241	-0.475252	-11.722	1.08884e-11	4.03167e-10
GSE59071	8022118	EPB41L3	erythrocyte membrane protein band 4.1 like 3	23136	74	11	8.02135	8.95069	-0.929337	-12.6361	1.11124e-11	4.10566e-10
GSE59071	7905220	ECM1	extracellular matrix protein 1	1893	74	11	7.53603	6.9649	0.571127	9.44649	1.11355e-11	4.10963e-10
GSE59071	7977445	FAM30A	family with sequence similarity 30, member A	9834	74	11	6.69967	5.48984	1.20984	11.9649	1.15628e-11	4.2621e-10
GSE59071	7899016	SDHD	succinate dehydrogenase complex subunit D	6392	74	11	10.4069	11.186	-0.779049	-11.4847	1.15752e-11	4.2621e-10
GSE59071	7988124	PPIP5K1	diphosphoinositol pentakisphosphate kinase 1	9677	74	11	8.04624	8.57406	-0.527826	-9.30182	1.15871e-11	4.2621e-10
GSE59071	7909175	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	23380	74	11	7.09251	6.30392	0.788584	10.5229	1.20993e-11	4.44559e-10
GSE59071	8112731	F2RL2	coagulation factor II thrombin receptor like 2	2151	74	11	7.24186	5.57202	1.66984	11.9947	1.23162e-11	4.52029e-10
GSE59071	8033605	MYO1F	myosin IF	4542	74	11	8.09182	7.0842	1.00762	9.59981	1.23392e-11	4.52311e-10
GSE59071	8050565	PUM2	pumilio RNA binding family member 2	23369	74	11	9.71489	10.1524	-0.437559	-12.9015	1.23511e-11	4.52311e-10
GSE59071	8174985	SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	6594	74	11	6.72685	5.89585	0.830998	10.1313	1.24461e-11	4.55289e-10
GSE59071	7996819	CDH3	cadherin 3	1001	74	11	9.12125	6.09991	3.02134	15.3727	1.27011e-11	4.64107e-10
GSE59071	8021453	SEC11C	SEC11 homolog C, signal peptidase complex subunit	90701	74	11	8.59195	7.80632	0.785631	10.9713	1.27337e-11	4.64787e-10
GSE59071	8149927	CLU	clusterin	1191	74	11	8.31981	6.80826	1.51155	9.82264	1.36763e-11	4.98645e-10
GSE59071	7896929	VWA1	von Willebrand factor A domain containing 1	64856	74	11	8.65791	7.96646	0.691447	13.7506	1.36943e-11	4.98755e-10
GSE59071	8145005	DMTN	dematin actin binding protein	2039	74	11	7.24874	7.69998	-0.451235	-9.95029	1.37386e-11	4.9982e-10
GSE59071	8123463	C6orf120	chromosome 6 open reading frame 120	387263	74	11	8.38504	8.95719	-0.572155	-12.2273	1.42071e-11	5.163e-10
GSE59071	8141728	IFT22	intraflagellar transport 22	64792	74	11	7.618	7.02222	0.595786	14.2731	1.44417e-11	5.24253e-10
GSE59071	8128383	COQ3	coenzyme Q3, methyltransferase	51805	74	11	5.78049	6.3926	-0.61211	-9.58056	1.50963e-11	5.47418e-10
GSE59071	7980316	TGFB3	transforming growth factor beta 3	7043	74	11	6.82551	5.99968	0.825826	8.12595	1.51751e-11	5.49676e-10
GSE59071	8026407	SYDE1	synapse defective Rho GTPase homolog 1	85360	74	11	7.07666	6.42552	0.651138	10.1426	1.53344e-11	5.54842e-10
GSE59071	8101874	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	124	74	11	6.66386	8.25242	-1.58856	-13.7712	1.5514e-11	5.6073e-10
GSE59071	7921344	ELL2	elongation factor for RNA polymerase II 2	22936	74	11	8.23523	6.66116	1.57407	14.6092	1.55613e-11	5.61829e-10
GSE59071	8092073	EIF5A2	eukaryotic translation initiation factor 5A2	56648	74	11	6.94954	5.84351	1.10604	14.2861	1.56109e-11	5.63008e-10
GSE59071	8019954	DLGAP1-AS1	DLGAP1 antisense RNA 1	649446	74	11	7.15841	6.52801	0.6304	11.9034	1.56436e-11	5.63576e-10
GSE59071	7947434	FBXO3	F-box protein 3	26273	74	11	8.26471	8.89373	-0.629019	-11.5819	1.62628e-11	5.8525e-10
GSE59071	7914112	FGR	FGR proto-oncogene, Src family tyrosine kinase	2268	74	11	8.16462	7.2528	0.911816	9.37678	1.64664e-11	5.91936e-10
GSE59071	8131996	CREB5	cAMP responsive element binding protein 5	9586	74	11	6.3971	5.45696	0.940134	8.82804	1.65566e-11	5.94536e-10
GSE59071	7956785	XPOT	exportin for tRNA	11260	74	11	8.72261	8.13797	0.584636	10.6505	1.6675e-11	5.98141e-10
GSE59071	7925954	NET1	neuroepithelial cell transforming 1	10276	74	11	9.46563	9.99825	-0.53262	-7.9779	1.6803e-11	6.02083e-10
GSE59071	7948274	UBE2L6	ubiquitin conjugating enzyme E2 L6	9246	74	11	8.43383	7.50992	0.923903	15.6799	1.70513e-11	6.10323e-10
GSE59071	8122365	ADGRG6	adhesion G protein-coupled receptor G6	57211	74	11	9.46317	7.61806	1.84511	12.3696	1.73036e-11	6.18687e-10
GSE59071	8042696	SPR	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	6697	74	11	8.46247	9.24695	-0.784475	-12.3801	1.79856e-11	6.42381e-10
GSE59071	8121861	NCOA7	nuclear receptor coactivator 7	135112	74	11	7.94324	6.73662	1.20662	13.7795	1.86123e-11	6.62776e-10
GSE59071	7985134	IDH3A	isocitrate dehydrogenase 3 (NAD(+)) alpha	3419	74	11	10.3984	10.97	-0.571642	-9.37294	1.86093e-11	6.62776e-10
GSE59071	8107897	PDLIM4	PDZ and LIM domain 4	8572	74	11	7.30326	6.76801	0.535249	8.96443	1.86164e-11	6.62776e-10
GSE59071	8008900	CA4	carbonic anhydrase 4	762	74	11	9.15488	10.6104	-1.45553	-8.58463	1.864e-11	6.62906e-10
GSE59071	7909862	C1orf115	chromosome 1 open reading frame 115	79762	74	11	7.91152	8.9119	-1.00038	-13.4308	1.89139e-11	6.71928e-10
GSE59071	8045083	SFT2D3	SFT2 domain containing 3	84826	74	11	7.46629	7.87552	-0.40923	-14.0501	1.90037e-11	6.74398e-10
GSE59071	8110841	LPCAT1	lysophosphatidylcholine acyltransferase 1	79888	74	11	9.39234	7.5403	1.85204	20.0695	1.9034e-11	6.74753e-10
GSE59071	8032804	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2	6455	74	11	9.14028	8.77864	0.361636	11.9999	1.91794e-11	6.79184e-10
GSE59071	8002152	SLC12A4	solute carrier family 12 member 4	6560	74	11	7.71324	6.908	0.805236	12.2416	1.92011e-11	6.79229e-10
GSE59071	8026315	PKN1	protein kinase N1	5585	74	11	7.80476	7.27528	0.52948	11.1438	1.97221e-11	6.96917e-10
GSE59071	8048749	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4	23704	74	11	6.36328	5.84619	0.517086	8.50944	1.99099e-11	7.02807e-10
GSE59071	8132929	GBAS	glioblastoma amplified sequence	2631	74	11	8.88784	9.7163	-0.828458	-11.2076	2.01794e-11	7.11565e-10
GSE59071	7909446	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1	3290	74	11	5.55909	5.00267	0.556419	8.04312	2.06203e-11	7.26341e-10
GSE59071	7978644	NFKBIA	NFKB inhibitor alpha	4792	74	11	10.7153	9.87432	0.840951	9.53635	2.08173e-11	7.32505e-10
GSE59071	8094550	C4orf19	chromosome 4 open reading frame 19	55286	74	11	8.16335	9.00303	-0.839684	-7.85525	2.1372e-11	7.51228e-10
GSE59071	7995206	TGFB1I1	transforming growth factor beta 1 induced transcript 1	7041	74	11	8.13333	7.71842	0.414909	8.35723	2.16299e-11	7.5949e-10
GSE59071	8146500	LYN	LYN proto-oncogene, Src family tyrosine kinase	4067	74	11	10.134	8.62394	1.51004	15.0912	2.17898e-11	7.64298e-10
GSE59071	8081375	NXPE3	neurexophilin and PC-esterase domain family member 3	91775	74	11	7.05193	5.73395	1.31798	11.3421	2.18247e-11	7.64715e-10
GSE59071	8075462	SELM	selenoprotein M	140606	74	11	9.08765	8.12813	0.959525	10.8893	2.1875e-11	7.65671e-10
GSE59071	7963054	TUBA1A	tubulin alpha 1a	7846	74	11	8.83051	7.87627	0.954242	10.8844	2.24278e-11	7.84195e-10
