display_group	accession	gene_symbol	log2fc	fdr	p_value	t_stat	neglog10_fdr	plot_class
GSE87466 validation	GSE87466	MDC1	0.409468	0.00198357	0.000368038	3.98009	2.7025524687076983	not_significant
GSE87466 validation	GSE87466	ATP9B	-0.214815	0.00198958	0.000369262	-4.03349	2.701238593406242	not_significant
GSE87466 validation	GSE87466	CCER1	-0.191094	0.00199095	0.000369625	-4.0431	2.7009396465505717	not_significant
GSE87466 validation	GSE87466	EMBP1	0.207857	0.00199917	0.000371225	3.86665	2.699150273954542	not_significant
GSE87466 validation	GSE87466	WDR1	-0.242847	0.00199957	0.000371336	-4.15692	2.6990633876886982	not_significant
GSE87466 validation	GSE87466	MST1	-0.552552	0.00199981	0.000371417	-3.93771	2.6990112642716775	not_significant
GSE87466 validation	GSE87466	PYCR1	0.43437	0.00200312	0.000372287	4.00322	2.69829303284483	not_significant
GSE87466 validation	GSE87466	PPP2R3B	-0.261957	0.00200421	0.000372527	-4.03263	2.698056775288328	not_significant
GSE87466 validation	GSE87466	WISP3	0.441912	0.0020045	0.000372617	3.68425	2.6979939394134593	not_significant
GSE87466 validation	GSE87466	LOC100287407	-0.291266	0.00200524	0.000372791	-4.05699	2.697833640780502	not_significant
GSE87466 validation	GSE87466	ZNF385A	0.552065	0.00200861	0.000373528	4.02955	2.6971043794738203	not_significant
GSE87466 validation	GSE87466	LOC100130285	-0.272177	0.00200895	0.000373628	-4.00451	2.697030872109052	not_significant
GSE87466 validation	GSE87466	SPOCD1	0.237032	0.00200945	0.000373758	3.88986	2.6969227956397743	not_significant
GSE87466 validation	GSE87466	LINC00477	-0.118867	0.00201155	0.00037423	-3.96058	2.696469167937752	not_significant
GSE87466 validation	GSE87466	NAXD	-0.243358	0.00201345	0.000374686	-3.96428	2.6960591507566805	not_significant
GSE87466 validation	GSE87466	PSIP1	0.339761	0.00201384	0.000374796	4.02239	2.695975037197204	not_significant
GSE87466 validation	GSE87466	MBNL1	-0.349442	0.00201571	0.000375181	-3.91687	2.6955719496368267	not_significant
GSE87466 validation	GSE87466	HOXB5	-0.747481	0.00201694	0.00037552	-4.07254	2.695307021002154	not_significant
GSE87466 validation	GSE87466	IGKV4-1	1.24566	0.00201917	0.000376008	4.15689	2.6948271149573766	up
GSE87466 validation	GSE87466	VPS13D	-0.438129	0.00201949	0.000376179	-4.09175	2.6947582930043033	not_significant
GSE87466 validation	GSE87466	PRG4	0.144335	0.00201949	0.000376143	3.80327	2.6947582930043033	not_significant
GSE87466 validation	GSE87466	LRP3	-0.280626	0.00202227	0.000377029	-3.96873	2.6941608607717678	not_significant
GSE87466 validation	GSE87466	LOC101929076	-0.278734	0.00202227	0.000377013	-4.01254	2.6941608607717678	not_significant
GSE87466 validation	GSE87466	NRM	0.318457	0.00202492	0.000377746	3.94301	2.6935921301010968	not_significant
GSE87466 validation	GSE87466	IGHV3-47	0.644883	0.00202791	0.000378378	4.15375	2.6929513231901323	not_significant
GSE87466 validation	GSE87466	B4GALT4	-0.419706	0.00203093	0.000379016	-3.90002	2.69230504515139	not_significant
GSE87466 validation	GSE87466	DAGLA	-0.314571	0.00203344	0.000379632	-3.99315	2.6917686376451067	not_significant
GSE87466 validation	GSE87466	LOC400099	-0.5978	0.00203354	0.0003797	-4.16069	2.6917472805456377	not_significant
GSE87466 validation	GSE87466	LOC101928417	-0.224988	0.00203438	0.000379919	-4.01871	2.691567922362594	not_significant
GSE87466 validation	GSE87466	EXOC3L1	-0.278094	0.00203472	0.000380058	-4.06872	2.691495346056192	not_significant
GSE87466 validation	GSE87466	CARMN	1.19669	0.0020353	0.000380202	4.0924	2.6913715674009473	up
GSE87466 validation	GSE87466	USP51	0.380043	0.0020364	0.000380482	3.93332	2.6911369116346995	not_significant
GSE87466 validation	GSE87466	LOC100506675	-0.280355	0.00203731	0.000380691	-4.05387	2.690942883102916	not_significant
