accession	gsm	group	celltype	fraction_proxy	nnls_residual	n_common_marker_genes
GSE59071	GSM1426109	case	M/DC	0.291255	1.10432	42
GSE59071	GSM1426110	case	T	0.253236	1.2624	42
GSE59071	GSM1426110	case	B	0.0653795	1.2624	42
GSE59071	GSM1426110	case	NK	0.185787	1.2624	42
GSE59071	GSM1426110	case	M/DC	0.495598	1.2624	42
GSE59071	GSM1426111	case	T	0.2833	0.915942	42
GSE59071	GSM1426111	case	B	0.419183	0.915942	42
GSE59071	GSM1426111	case	NK	0.00585277	0.915942	42
GSE59071	GSM1426111	case	M/DC	0.291664	0.915942	42
GSE59071	GSM1426112	case	T	0.318127	1.36607	42
GSE59071	GSM1426112	case	B	0.213885	1.36607	42
GSE59071	GSM1426112	case	NK	0.168449	1.36607	42
GSE59071	GSM1426112	case	M/DC	0.299539	1.36607	42
GSE59071	GSM1426113	case	T	0.342989	1.14682	42
GSE59071	GSM1426113	case	B	0.277382	1.14682	42
GSE59071	GSM1426113	case	NK	0.0878938	1.14682	42
GSE59071	GSM1426113	case	M/DC	0.291734	1.14682	42
GSE59071	GSM1426114	case	T	0.248732	1.19914	42
GSE59071	GSM1426114	case	B	0.32613	1.19914	42
GSE59071	GSM1426114	case	NK	0.074948	1.19914	42
GSE59071	GSM1426114	case	M/DC	0.35019	1.19914	42
GSE59071	GSM1426115	case	T	0.282152	1.28417	42
GSE59071	GSM1426115	case	B	0.210679	1.28417	42
GSE59071	GSM1426115	case	NK	0.181655	1.28417	42
GSE59071	GSM1426115	case	M/DC	0.325514	1.28417	42
GSE59071	GSM1426116	case	T	0.312993	1.24264	42
GSE59071	GSM1426116	case	B	0.187758	1.24264	42
GSE59071	GSM1426116	case	NK	0.108082	1.24264	42
GSE59071	GSM1426116	case	M/DC	0.391167	1.24264	42
GSE59071	GSM1426117	case	T	0.380322	1.30381	42
GSE59071	GSM1426117	case	B	0.246651	1.30381	42
GSE59071	GSM1426117	case	NK	0.096387	1.30381	42
GSE59071	GSM1426117	case	M/DC	0.27664	1.30381	42
GSE59071	GSM1426118	case	T	0.25342	1.46686	42
GSE59071	GSM1426118	case	B	0.451677	1.46686	42
GSE59071	GSM1426118	case	NK	0.0899773	1.46686	42
GSE59071	GSM1426118	case	M/DC	0.204926	1.46686	42
GSE59071	GSM1426119	case	T	0.31042	1.38973	42
GSE59071	GSM1426119	case	B	0.287892	1.38973	42
GSE59071	GSM1426119	case	NK	0.127357	1.38973	42
GSE59071	GSM1426119	case	M/DC	0.274331	1.38973	42
GSE59071	GSM1426120	case	T	0.378472	1.11784	42
GSE59071	GSM1426120	case	B	0.337667	1.11784	42
GSE59071	GSM1426120	case	NK	0.0251287	1.11784	42
GSE59071	GSM1426120	case	M/DC	0.258732	1.11784	42
GSE59071	GSM1426121	case	T	0.339181	1.33882	42
GSE59071	GSM1426121	case	B	0.177914	1.33882	42
GSE59071	GSM1426121	case	NK	0.134089	1.33882	42
GSE59071	GSM1426121	case	M/DC	0.348816	1.33882	42
GSE59071	GSM1426122	case	T	0.171645	1.13539	42
GSE59071	GSM1426122	case	B	0.361232	1.13539	42
GSE59071	GSM1426122	case	NK	0.175769	1.13539	42
GSE59071	GSM1426122	case	M/DC	0.291354	1.13539	42
GSE59071	GSM1426123	case	T	0.204385	1.19756	42
GSE59071	GSM1426123	case	B	0.22473	1.19756	42
GSE59071	GSM1426123	case	NK	0.184524	1.19756	42
GSE59071	GSM1426123	case	M/DC	0.386361	1.19756	42
GSE59071	GSM1426124	case	T	0.348177	1.50392	42
GSE59071	GSM1426124	case	B	0.205114	1.50392	42
GSE59071	GSM1426124	case	NK	0.178286	1.50392	42
GSE59071	GSM1426124	case	M/DC	0.268423	1.50392	42
GSE59071	GSM1426125	case	T	0.253744	1.13753	42
GSE59071	GSM1426125	case	B	0.330587	1.13753	42
GSE59071	GSM1426125	case	NK	0.131458	1.13753	42
GSE59071	GSM1426125	case	M/DC	0.284212	1.13753	42
GSE59071	GSM1426126	case	T	0.161667	1.35477	42
GSE59071	GSM1426126	case	B	0.147339	1.35477	42
GSE59071	GSM1426126	case	NK	0.194909	1.35477	42
GSE59071	GSM1426126	case	M/DC	0.496085	1.35477	42
GSE59071	GSM1426127	case	T	0.220545	1.26624	42
GSE59071	GSM1426127	case	B	0.470685	1.26624	42
GSE59071	GSM1426127	case	NK	0.0860935	1.26624	42
GSE59071	GSM1426127	case	M/DC	0.222676	1.26624	42
GSE59071	GSM1426128	case	T	0.287464	1.0341	42
GSE59071	GSM1426128	case	B	0.355072	1.0341	42
GSE59071	GSM1426128	case	NK	0.0686586	1.0341	42
GSE59071	GSM1426128	case	M/DC	0.288805	1.0341	42
GSE59071	GSM1426129	case	T	0.24569	1.32835	42
GSE59071	GSM1426129	case	B	0.14748	1.32835	42
GSE59071	GSM1426129	case	NK	0.199127	1.32835	42
GSE59071	GSM1426129	case	M/DC	0.407702	1.32835	42
GSE59071	GSM1426130	case	T	0.123278	1.23626	42
GSE59071	GSM1426130	case	B	0.255342	1.23626	42
GSE59071	GSM1426130	case	NK	0.247083	1.23626	42
GSE59071	GSM1426130	case	M/DC	0.374297	1.23626	42
GSE59071	GSM1426131	case	T	0.334629	1.24036	42
GSE59071	GSM1426131	case	B	0.370929	1.24036	42
GSE59071	GSM1426131	case	NK	0.0205468	1.24036	42
GSE59071	GSM1426131	case	M/DC	0.273896	1.24036	42
GSE59071	GSM1426132	case	T	0.252493	1.21277	42
GSE59071	GSM1426132	case	B	0.313167	1.21277	42
GSE59071	GSM1426132	case	NK	0.150028	1.21277	42
GSE59071	GSM1426132	case	M/DC	0.284312	1.21277	42
GSE59071	GSM1426133	case	T	0.303286	1.43722	42
GSE59071	GSM1426133	case	B	0.225894	1.43722	42
GSE59071	GSM1426133	case	NK	0.127841	1.43722	42
GSE59071	GSM1426133	case	M/DC	0.342979	1.43722	42
GSE59071	GSM1426134	case	T	0.240245	1.23398	42
GSE59071	GSM1426134	case	B	0.220549	1.23398	42
GSE59071	GSM1426134	case	NK	0.190089	1.23398	42
GSE59071	GSM1426134	case	M/DC	0.349117	1.23398	42
GSE59071	GSM1426135	case	T	0.306726	1.13551	42
GSE59071	GSM1426135	case	B	0.287806	1.13551	42
GSE59071	GSM1426135	case	NK	0.0771929	1.13551	42
GSE59071	GSM1426135	case	M/DC	0.328275	1.13551	42
GSE59071	GSM1426136	case	T	0.299053	1.23833	42
GSE59071	GSM1426136	case	B	0.239613	1.23833	42
GSE59071	GSM1426136	case	NK	0.224442	1.23833	42
GSE59071	GSM1426136	case	M/DC	0.236892	1.23833	42
GSE59071	GSM1426137	case	T	0.226953	1.18951	42
GSE59071	GSM1426137	case	B	0.277913	1.18951	42
GSE59071	GSM1426137	case	NK	0.0843469	1.18951	42
GSE59071	GSM1426137	case	M/DC	0.410787	1.18951	42
GSE59071	GSM1426138	case	T	0.251561	1.39483	42
GSE59071	GSM1426138	case	B	0.284025	1.39483	42
GSE59071	GSM1426138	case	NK	0.0711104	1.39483	42
GSE59071	GSM1426138	case	M/DC	0.393304	1.39483	42
GSE59071	GSM1426139	case	T	0.172152	1.17872	42
GSE59071	GSM1426139	case	B	0.330807	1.17872	42
GSE59071	GSM1426139	case	NK	0.1283	1.17872	42
GSE59071	GSM1426139	case	M/DC	0.368741	1.17872	42
GSE59071	GSM1426140	case	T	0.271767	1.1461	42
GSE59071	GSM1426140	case	B	0.439122	1.1461	42
GSE59071	GSM1426140	case	NK	0.0314789	1.1461	42
GSE59071	GSM1426140	case	M/DC	0.257632	1.1461	42
GSE59071	GSM1426141	case	T	0.319219	1.30645	42
GSE59071	GSM1426141	case	B	0.135468	1.30645	42
GSE59071	GSM1426141	case	NK	0.20364	1.30645	42
GSE59071	GSM1426141	case	M/DC	0.341673	1.30645	42
GSE59071	GSM1426142	case	T	0.156018	1.3718	42
GSE59071	GSM1426142	case	B	0.295332	1.3718	42
GSE59071	GSM1426142	case	NK	0.167571	1.3718	42
GSE59071	GSM1426142	case	M/DC	0.381079	1.3718	42
GSE59071	GSM1426143	case	T	0.210842	1.31387	42
GSE59071	GSM1426143	case	B	0.234107	1.31387	42
GSE59071	GSM1426143	case	NK	0.373294	1.31387	42
GSE59071	GSM1426143	case	M/DC	0.181757	1.31387	42
GSE59071	GSM1426144	case	T	0.338506	1.15375	42
GSE59071	GSM1426144	case	B	0.396058	1.15375	42
GSE59071	GSM1426144	case	NK	0.0687037	1.15375	42
GSE59071	GSM1426144	case	M/DC	0.196732	1.15375	42
GSE59071	GSM1426145	case	T	0.261862	1.49913	42
GSE59071	GSM1426145	case	B	0.224928	1.49913	42
GSE59071	GSM1426145	case	NK	0.187232	1.49913	42
GSE59071	GSM1426145	case	M/DC	0.325978	1.49913	42
GSE59071	GSM1426146	case	T	0.215082	1.21433	42
GSE59071	GSM1426146	case	B	0.377693	1.21433	42
GSE59071	GSM1426146	case	NK	0.120382	1.21433	42
GSE59071	GSM1426146	case	M/DC	0.286842	1.21433	42
GSE59071	GSM1426147	case	T	0.229954	1.40281	42
GSE59071	GSM1426147	case	B	0.302235	1.40281	42
GSE59071	GSM1426147	case	NK	0.0636952	1.40281	42
GSE59071	GSM1426147	case	M/DC	0.404116	1.40281	42
GSE59071	GSM1426148	case	T	0.414998	1.33669	42
GSE59071	GSM1426148	case	B	0.100227	1.33669	42
GSE59071	GSM1426148	case	NK	0.28832	1.33669	42
GSE59071	GSM1426148	case	M/DC	0.196455	1.33669	42
GSE59071	GSM1426149	case	T	0.252313	1.17142	42
GSE59071	GSM1426149	case	B	0.257954	1.17142	42
GSE59071	GSM1426149	case	NK	0.102307	1.17142	42
GSE59071	GSM1426149	case	M/DC	0.387426	1.17142	42
GSE59071	GSM1426150	case	T	0.310315	1.33199	42
GSE59071	GSM1426150	case	B	0.420127	1.33199	42
GSE59071	GSM1426150	case	NK	0.0228652	1.33199	42
GSE59071	GSM1426150	case	M/DC	0.246694	1.33199	42
GSE59071	GSM1426151	case	T	0.362627	1.16131	42
GSE59071	GSM1426151	case	B	0.3762	1.16131	42
GSE59071	GSM1426151	case	NK	0.0515724	1.16131	42
GSE59071	GSM1426151	case	M/DC	0.209601	1.16131	42
GSE59071	GSM1426152	case	T	0.350996	1.21439	42
GSE59071	GSM1426152	case	B	0.367207	1.21439	42
GSE59071	GSM1426152	case	NK	0.0701637	1.21439	42
GSE59071	GSM1426152	case	M/DC	0.211633	1.21439	42
GSE59071	GSM1426153	case	T	0.324354	1.33252	42
GSE59071	GSM1426153	case	B	0.162316	1.33252	42
GSE59071	GSM1426153	case	NK	0.154365	1.33252	42
GSE59071	GSM1426153	case	M/DC	0.358964	1.33252	42
GSE59071	GSM1426154	case	T	0.303051	1.18425	42
GSE59071	GSM1426154	case	B	0.372387	1.18425	42
GSE59071	GSM1426154	case	NK	0.0584742	1.18425	42
GSE59071	GSM1426154	case	M/DC	0.266088	1.18425	42
GSE59071	GSM1426155	case	T	0.2505	1.18057	42
GSE59071	GSM1426155	case	B	0.164226	1.18057	42
GSE59071	GSM1426155	case	NK	0.230196	1.18057	42
GSE59071	GSM1426155	case	M/DC	0.355078	1.18057	42
GSE59071	GSM1426156	case	T	0.192088	1.01713	42
GSE59071	GSM1426156	case	B	0.127998	1.01713	42
GSE59071	GSM1426156	case	NK	0.148017	1.01713	42
GSE59071	GSM1426156	case	M/DC	0.531897	1.01713	42
GSE59071	GSM1426157	case	T	0.180137	1.14696	42
GSE59071	GSM1426157	case	B	0.339861	1.14696	42
GSE59071	GSM1426157	case	NK	0.0301696	1.14696	42
GSE59071	GSM1426157	case	M/DC	0.449833	1.14696	42
GSE59071	GSM1426158	case	T	0.215732	1.47222	42
GSE59071	GSM1426158	case	B	0.151619	1.47222	42
GSE59071	GSM1426158	case	NK	0.197721	1.47222	42
GSE59071	GSM1426158	case	M/DC	0.434928	1.47222	42
GSE59071	GSM1426159	case	T	0.314079	1.17521	42
GSE59071	GSM1426159	case	B	0.359779	1.17521	42
GSE59071	GSM1426159	case	NK	0.0728098	1.17521	42
GSE59071	GSM1426159	case	M/DC	0.253332	1.17521	42
GSE59071	GSM1426160	case	T	0.307361	1.16108	42
GSE59071	GSM1426160	case	B	0.286264	1.16108	42
GSE59071	GSM1426160	case	NK	0.0152282	1.16108	42
GSE59071	GSM1426160	case	M/DC	0.391147	1.16108	42
GSE59071	GSM1426161	case	T	0.346354	1.32137	42
GSE59071	GSM1426161	case	B	0.172834	1.32137	42
GSE59071	GSM1426161	case	NK	0.181274	1.32137	42
GSE59071	GSM1426161	case	M/DC	0.299538	1.32137	42
GSE59071	GSM1426162	case	T	0.200425	1.43565	42
GSE59071	GSM1426162	case	B	0.304787	1.43565	42
GSE59071	GSM1426162	case	NK	0.118491	1.43565	42
GSE59071	GSM1426162	case	M/DC	0.376297	1.43565	42
GSE59071	GSM1426163	case	T	0.29786	1.29662	42
GSE59071	GSM1426163	case	B	0.276766	1.29662	42
GSE59071	GSM1426163	case	NK	0.106926	1.29662	42
GSE59071	GSM1426163	case	M/DC	0.318448	1.29662	42
GSE87466	GSM2332098	control	T	0.179157	0.719873	43
GSE87466	GSM2332098	control	B	0.263459	0.719873	43
GSE87466	GSM2332098	control	NK	0.257169	0.719873	43
GSE87466	GSM2332098	control	M/DC	0.300215	0.719873	43
GSE87466	GSM2332099	control	T	0.271417	1.43567	43
GSE87466	GSM2332099	control	B	0.172985	1.43567	43
GSE87466	GSM2332099	control	NK	0.324712	1.43567	43
GSE87466	GSM2332099	control	M/DC	0.230886	1.43567	43
GSE87466	GSM2332100	control	T	0.364494	1.28028	43
GSE87466	GSM2332100	control	B	0.0929007	1.28028	43
GSE87466	GSM2332100	control	NK	0.320129	1.28028	43
GSE87466	GSM2332100	control	M/DC	0.222476	1.28028	43
GSE87466	GSM2332101	control	T	0.2565	1.00484	43
GSE87466	GSM2332101	control	B	0.307429	1.00484	43
GSE87466	GSM2332101	control	NK	0.164202	1.00484	43
GSE87466	GSM2332101	control	M/DC	0.271869	1.00484	43
GSE87466	GSM2332102	control	T	0.337084	0.804609	43
GSE87466	GSM2332102	control	B	0.483175	0.804609	43
GSE87466	GSM2332102	control	NK	0.0611941	0.804609	43
GSE87466	GSM2332102	control	M/DC	0.118547	0.804609	43
GSE87466	GSM2332103	control	T	0.329287	0.992726	43
GSE87466	GSM2332103	control	B	0.206322	0.992726	43
GSE87466	GSM2332103	control	NK	0.251707	0.992726	43
GSE87466	GSM2332103	control	M/DC	0.212684	0.992726	43
GSE87466	GSM2332104	control	T	0.283188	1.06355	43
GSE87466	GSM2332104	control	B	0.298159	1.06355	43
GSE87466	GSM2332104	control	NK	0.146782	1.06355	43
GSE87466	GSM2332104	control	M/DC	0.271871	1.06355	43
GSE87466	GSM2332105	control	T	0.224422	0.67126	43
GSE87466	GSM2332105	control	B	0.519429	0.67126	43
GSE87466	GSM2332105	control	NK	0.129822	0.67126	43
GSE87466	GSM2332105	control	M/DC	0.126327	0.67126	43
GSE87466	GSM2332106	control	T	0.285938	1.14038	43
GSE87466	GSM2332106	control	B	0.385938	1.14038	43
GSE87466	GSM2332106	control	NK	0.0751514	1.14038	43
GSE87466	GSM2332106	control	M/DC	0.252974	1.14038	43
GSE87466	GSM2332107	control	T	0.214933	0.727604	43
GSE87466	GSM2332107	control	B	0.311125	0.727604	43
GSE87466	GSM2332107	control	NK	0.146206	0.727604	43
GSE87466	GSM2332107	control	M/DC	0.327736	0.727604	43
GSE87466	GSM2332108	control	T	0.16566	1.08948	43
GSE87466	GSM2332108	control	B	0.264655	1.08948	43
GSE87466	GSM2332108	control	NK	0.283435	1.08948	43
GSE87466	GSM2332108	control	M/DC	0.28625	1.08948	43
GSE87466	GSM2332109	control	T	0.335418	0.899264	43
GSE87466	GSM2332109	control	B	0.334341	0.899264	43
GSE87466	GSM2332109	control	NK	0.174004	0.899264	43
GSE87466	GSM2332109	control	M/DC	0.156238	0.899264	43
GSE87466	GSM2332110	control	T	0.140051	1.12814	43
GSE87466	GSM2332110	control	B	0.290713	1.12814	43
GSE87466	GSM2332110	control	NK	0.282903	1.12814	43
GSE87466	GSM2332110	control	M/DC	0.286333	1.12814	43
GSE87466	GSM2332111	control	T	0.166563	1.20498	43
GSE87466	GSM2332111	control	B	0.376446	1.20498	43
GSE87466	GSM2332111	control	NK	0.353236	1.20498	43
GSE87466	GSM2332111	control	M/DC	0.103755	1.20498	43
GSE87466	GSM2332112	control	T	0.0415677	0.914192	43
GSE87466	GSM2332112	control	B	0.181851	0.914192	43
GSE87466	GSM2332112	control	NK	0.346994	0.914192	43
GSE87466	GSM2332112	control	M/DC	0.429587	0.914192	43
GSE87466	GSM2332113	control	T	0.188734	1.25312	43
GSE87466	GSM2332113	control	B	0.243679	1.25312	43
GSE87466	GSM2332113	control	NK	0.338492	1.25312	43
GSE87466	GSM2332113	control	M/DC	0.229094	1.25312	43
GSE87466	GSM2332114	control	T	0.0211018	1.30602	43
GSE87466	GSM2332114	control	B	0.179657	1.30602	43
GSE87466	GSM2332114	control	NK	0.367026	1.30602	43
GSE87466	GSM2332114	control	M/DC	0.432215	1.30602	43
GSE87466	GSM2332115	control	T	0.299094	0.702053	43
GSE87466	GSM2332115	control	B	0.279205	0.702053	43
GSE87466	GSM2332115	control	NK	0.312002	0.702053	43
GSE87466	GSM2332115	control	M/DC	0.109699	0.702053	43
GSE87466	GSM2332116	control	T	0.179921	1.05227	43
GSE87466	GSM2332116	control	B	0.295397	1.05227	43
GSE87466	GSM2332116	control	NK	0.19134	1.05227	43
GSE87466	GSM2332116	control	M/DC	0.333343	1.05227	43
GSE87466	GSM2332117	control	T	0.228922	0.912701	43
GSE87466	GSM2332117	control	B	0.347864	0.912701	43
GSE87466	GSM2332117	control	NK	0.192542	0.912701	43
GSE87466	GSM2332117	control	M/DC	0.230672	0.912701	43
GSE87466	GSM2332118	control	T	0.227173	1.32494	43
GSE87466	GSM2332118	control	B	0.167362	1.32494	43
GSE87466	GSM2332118	control	NK	0.383286	1.32494	43
GSE87466	GSM2332118	control	M/DC	0.22218	1.32494	43
GSE87466	GSM2332119	case	T	0.223911	0.917428	43
GSE87466	GSM2332119	case	B	0.380488	0.917428	43
GSE87466	GSM2332119	case	NK	0.137818	0.917428	43
GSE87466	GSM2332119	case	M/DC	0.257783	0.917428	43
GSE87466	GSM2332120	case	T	0.18111	1.11771	43
GSE87466	GSM2332120	case	B	0.243352	1.11771	43
GSE87466	GSM2332120	case	NK	0.163695	1.11771	43
GSE87466	GSM2332120	case	M/DC	0.411842	1.11771	43
GSE87466	GSM2332121	case	T	0.24033	0.904078	43
GSE87466	GSM2332121	case	B	0.23188	0.904078	43
GSE87466	GSM2332121	case	NK	0.180041	0.904078	43
GSE87466	GSM2332121	case	M/DC	0.347749	0.904078	43
GSE87466	GSM2332122	case	T	0.298654	1.27564	43
GSE87466	GSM2332122	case	B	0.298548	1.27564	43
GSE87466	GSM2332122	case	NK	0.12046	1.27564	43
GSE87466	GSM2332122	case	M/DC	0.282339	1.27564	43
GSE87466	GSM2332123	case	T	0.345764	1.22002	43
GSE87466	GSM2332123	case	B	0.410947	1.22002	43
GSE87466	GSM2332123	case	NK	0.028559	1.22002	43
GSE87466	GSM2332123	case	M/DC	0.21473	1.22002	43
GSE87466	GSM2332124	case	T	0.240729	1.13763	43
GSE87466	GSM2332124	case	B	0.263489	1.13763	43
GSE87466	GSM2332124	case	NK	0.183308	1.13763	43
GSE87466	GSM2332124	case	M/DC	0.312474	1.13763	43
GSE87466	GSM2332125	case	T	0.298603	1.11808	43
GSE87466	GSM2332125	case	B	0.222198	1.11808	43
GSE87466	GSM2332125	case	NK	0.20654	1.11808	43
GSE87466	GSM2332125	case	M/DC	0.272659	1.11808	43
GSE87466	GSM2332126	case	T	0.166548	1.0329	43
GSE87466	GSM2332126	case	B	0.402591	1.0329	43
GSE87466	GSM2332126	case	NK	0.138141	1.0329	43
GSE87466	GSM2332126	case	M/DC	0.29272	1.0329	43
GSE87466	GSM2332127	case	T	0.133126	1.16949	43
GSE87466	GSM2332127	case	B	0.132812	1.16949	43
GSE87466	GSM2332127	case	NK	0.188913	1.16949	43
GSE87466	GSM2332127	case	M/DC	0.545149	1.16949	43
GSE87466	GSM2332128	case	T	0.217864	1.03471	43
GSE87466	GSM2332128	case	B	0.343886	1.03471	43
GSE87466	GSM2332128	case	NK	0.125564	1.03471	43
GSE87466	GSM2332128	case	M/DC	0.312686	1.03471	43
GSE87466	GSM2332129	case	T	0.180168	1.08856	43
GSE87466	GSM2332129	case	B	0.265138	1.08856	43
GSE87466	GSM2332129	case	NK	0.215934	1.08856	43
GSE87466	GSM2332129	case	M/DC	0.33876	1.08856	43
GSE87466	GSM2332130	case	T	0.2713	0.965718	43
GSE87466	GSM2332130	case	B	0.327738	0.965718	43
GSE87466	GSM2332130	case	NK	0.115404	0.965718	43
GSE87466	GSM2332130	case	M/DC	0.285558	0.965718	43
GSE87466	GSM2332131	case	T	0.207207	1.35127	43
GSE87466	GSM2332131	case	B	0.115851	1.35127	43
GSE87466	GSM2332131	case	NK	0.292459	1.35127	43
GSE87466	GSM2332131	case	M/DC	0.384483	1.35127	43
GSE87466	GSM2332132	case	T	0.326969	0.903975	43
GSE87466	GSM2332132	case	B	0.241489	0.903975	43
GSE87466	GSM2332132	case	NK	0.158483	0.903975	43
GSE87466	GSM2332132	case	M/DC	0.273059	0.903975	43
GSE87466	GSM2332133	case	T	0.25724	1.18174	43
GSE87466	GSM2332133	case	B	0.326551	1.18174	43
GSE87466	GSM2332133	case	NK	0.0391812	1.18174	43
GSE87466	GSM2332133	case	M/DC	0.377028	1.18174	43
GSE87466	GSM2332134	case	T	0.207658	0.956058	43
GSE87466	GSM2332134	case	B	0.15457	0.956058	43
GSE87466	GSM2332134	case	NK	0.176991	0.956058	43
GSE87466	GSM2332134	case	M/DC	0.460781	0.956058	43
GSE87466	GSM2332135	case	T	0.367008	1.21169	43
GSE87466	GSM2332135	case	B	0.257352	1.21169	43
GSE87466	GSM2332135	case	NK	0.0586011	1.21169	43
GSE87466	GSM2332135	case	M/DC	0.317039	1.21169	43
GSE87466	GSM2332136	case	T	0.222743	0.931242	43
GSE87466	GSM2332136	case	B	0.224965	0.931242	43
GSE87466	GSM2332136	case	NK	0.218853	0.931242	43
GSE87466	GSM2332136	case	M/DC	0.333439	0.931242	43
GSE87466	GSM2332137	case	T	0.215258	1.2111	43
GSE87466	GSM2332137	case	B	0.287606	1.2111	43
GSE87466	GSM2332137	case	NK	0.183525	1.2111	43
GSE87466	GSM2332137	case	M/DC	0.313611	1.2111	43
GSE87466	GSM2332138	case	T	0.270918	0.997984	43
GSE87466	GSM2332138	case	B	0.361312	0.997984	43
GSE87466	GSM2332138	case	NK	0.0707457	0.997984	43
GSE87466	GSM2332138	case	M/DC	0.297024	0.997984	43
GSE87466	GSM2332139	case	T	0.291427	1.13086	43
GSE87466	GSM2332139	case	B	0.223342	1.13086	43
GSE87466	GSM2332139	case	NK	0.141431	1.13086	43
GSE87466	GSM2332139	case	M/DC	0.3438	1.13086	43
GSE87466	GSM2332140	case	T	0.327488	1.02105	43
GSE87466	GSM2332140	case	B	0.256437	1.02105	43
GSE87466	GSM2332140	case	NK	0.11655	1.02105	43
GSE87466	GSM2332140	case	M/DC	0.299524	1.02105	43
GSE87466	GSM2332141	case	T	0.429037	1.10185	43
GSE87466	GSM2332141	case	B	0.287783	1.10185	43
GSE87466	GSM2332141	case	NK	0.0703546	1.10185	43
GSE87466	GSM2332141	case	M/DC	0.212826	1.10185	43
GSE87466	GSM2332142	case	T	0.297518	1.15893	43
GSE87466	GSM2332142	case	B	0.261151	1.15893	43
GSE87466	GSM2332142	case	NK	0.0975089	1.15893	43
GSE87466	GSM2332142	case	M/DC	0.343822	1.15893	43
GSE87466	GSM2332143	case	T	0.348324	1.2557	43
GSE87466	GSM2332143	case	B	0.257292	1.2557	43
GSE87466	GSM2332143	case	NK	0.0783518	1.2557	43
GSE87466	GSM2332143	case	M/DC	0.316032	1.2557	43
GSE87466	GSM2332144	case	T	0.195657	1.28055	43
GSE87466	GSM2332144	case	B	0.310842	1.28055	43
GSE87466	GSM2332144	case	NK	0.14484	1.28055	43
GSE87466	GSM2332144	case	M/DC	0.348661	1.28055	43
GSE87466	GSM2332145	case	T	0.236269	1.18001	43
GSE87466	GSM2332145	case	B	0.234776	1.18001	43
GSE87466	GSM2332145	case	NK	0.16993	1.18001	43
GSE87466	GSM2332145	case	M/DC	0.359025	1.18001	43
GSE87466	GSM2332146	case	T	0.233671	1.05946	43
GSE87466	GSM2332146	case	B	0.259537	1.05946	43
GSE87466	GSM2332146	case	NK	0.174801	1.05946	43
GSE87466	GSM2332146	case	M/DC	0.331991	1.05946	43
GSE87466	GSM2332147	case	T	0.253129	1.33858	43
GSE87466	GSM2332147	case	B	0.181329	1.33858	43
GSE87466	GSM2332147	case	NK	0.155526	1.33858	43
GSE87466	GSM2332147	case	M/DC	0.410015	1.33858	43
GSE87466	GSM2332148	case	T	0.258958	1.27269	43
GSE87466	GSM2332148	case	B	0.272672	1.27269	43
GSE87466	GSM2332148	case	NK	0.104823	1.27269	43
GSE87466	GSM2332148	case	M/DC	0.363547	1.27269	43
GSE87466	GSM2332149	case	T	0.141948	1.13426	43
GSE87466	GSM2332149	case	B	0.285868	1.13426	43
GSE87466	GSM2332149	case	NK	0.0808612	1.13426	43
GSE87466	GSM2332149	case	M/DC	0.491322	1.13426	43
GSE87466	GSM2332150	case	T	0.366907	1.21726	43
GSE87466	GSM2332150	case	B	0.214409	1.21726	43
GSE87466	GSM2332150	case	NK	0.0659147	1.21726	43
GSE87466	GSM2332150	case	M/DC	0.35277	1.21726	43
GSE87466	GSM2332151	case	T	0.373645	0.761551	43
GSE87466	GSM2332151	case	B	0.374456	0.761551	43
GSE87466	GSM2332151	case	NK	0	0.761551	43
GSE87466	GSM2332151	case	M/DC	0.251899	0.761551	43
GSE87466	GSM2332152	case	T	0.199877	1.40142	43
GSE87466	GSM2332152	case	B	0.343608	1.40142	43
GSE87466	GSM2332152	case	NK	0.0879699	1.40142	43
GSE87466	GSM2332152	case	M/DC	0.368544	1.40142	43
GSE87466	GSM2332153	case	T	0.260387	1.11744	43
GSE87466	GSM2332153	case	B	0.236408	1.11744	43
GSE87466	GSM2332153	case	NK	0.143458	1.11744	43
GSE87466	GSM2332153	case	M/DC	0.359746	1.11744	43
GSE87466	GSM2332154	case	T	0.293151	1.01044	43
GSE87466	GSM2332154	case	B	0.278209	1.01044	43
GSE87466	GSM2332154	case	NK	0.110275	1.01044	43
GSE87466	GSM2332154	case	M/DC	0.318365	1.01044	43
GSE87466	GSM2332155	case	T	0.288679	1.20474	43
GSE87466	GSM2332155	case	B	0.296075	1.20474	43
GSE87466	GSM2332155	case	NK	0.0631222	1.20474	43
GSE87466	GSM2332155	case	M/DC	0.352124	1.20474	43
GSE87466	GSM2332156	case	T	0.289104	0.720178	43
GSE87466	GSM2332156	case	B	0.35485	0.720178	43
GSE87466	GSM2332156	case	NK	0.067852	0.720178	43
GSE87466	GSM2332156	case	M/DC	0.288194	0.720178	43
GSE87466	GSM2332157	case	T	0.233295	1.07401	43
GSE87466	GSM2332157	case	B	0.303848	1.07401	43
GSE87466	GSM2332157	case	NK	0.155087	1.07401	43
GSE87466	GSM2332157	case	M/DC	0.307769	1.07401	43
GSE87466	GSM2332158	case	T	0.194547	1.25272	43
GSE87466	GSM2332158	case	B	0.333118	1.25272	43
GSE87466	GSM2332158	case	NK	0.118557	1.25272	43
GSE87466	GSM2332158	case	M/DC	0.353779	1.25272	43
GSE87466	GSM2332159	case	T	0.328859	1.12825	43
GSE87466	GSM2332159	case	B	0.228663	1.12825	43
GSE87466	GSM2332159	case	NK	0.137524	1.12825	43
