ingredient_id	ingredient_name	target_id	gene_symbol	protein_name	edge_source	evidence_level	target_source	reference_id	reference_url	pubmed_id	pubmed_url	reference_title	relationship	grade	supporting_sentence	in_bulk_uc_ibd_up150	in_bulk_uc_ibd_down150	candidate_priority_class	candidate_priority_score
HBIN041495	Quercetin	HBTAR006670	SIRT1	sirtuin 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005551	/Reference/detail/?v=HBREF005551	33363176	https://pubmed.ncbi.nlm.nih.gov/33363176/	Quercetin Suppresses Apoptosis and Attenuates Intervertebral Disc Degeneration via the SIRT1-Autophagy Pathway	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006670	SIRT1	sirtuin 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005561	/Reference/detail/?v=HBREF005561	34093537	https://pubmed.ncbi.nlm.nih.gov/34093537/	Quercetin Attenuates Trauma-Induced Heterotopic Ossification by Tuning Immune Cell Infiltration and Related Inflammatory Insult	upregulate/increase	Grade B	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006670	SIRT1	sirtuin 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005602	/Reference/detail/?v=HBREF005602	36014814	https://pubmed.ncbi.nlm.nih.gov/36014814/	Quercetin Increases Mitochondrial Biogenesis and Reduces Free Radicals in Neuronal SH-SY5Y Cells		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR006670	SIRT1	sirtuin 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005614	/Reference/detail/?v=HBREF005614	36309049	https://pubmed.ncbi.nlm.nih.gov/36309049/	Quercetin protects against LPS-induced lung injury in mice via SIRT1-mediated suppression of PKM2 nuclear accumulation		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR001441	FSHR	follicle stimulating hormone receptor	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005622	/Reference/detail/?v=HBREF005622	36572950	https://pubmed.ncbi.nlm.nih.gov/36572950/	Quercetin alleviates cyclophosphamide-induced premature ovarian insufficiency in mice by reducing mitochondrial oxidative stress and pyroptosis in granulosa cells		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR004053	TERT	telomerase reverse transcriptase	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005583	/Reference/detail/?v=HBREF005583	35122975	https://pubmed.ncbi.nlm.nih.gov/35122975/	Quercetin promotes cutaneous wound healing in mice through Wnt/β-catenin signaling pathway		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR003008	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005548	/Reference/detail/?v=HBREF005548	33192484	https://pubmed.ncbi.nlm.nih.gov/33192484/	Network Pharmacology-Based and Experimental Identification of the Effects of Quercetin on Alzheimer's Disease		Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000390	BMI1	BMI1 proto-oncogene, polycomb ring finger	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005578	/Reference/detail/?v=HBREF005578	34873428	https://pubmed.ncbi.nlm.nih.gov/34873428/	Quercetin Prevents Radiation-Induced Oral Mucositis by Upregulating BMI-1	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR004060	NR2F1	nuclear receptor subfamily 2 group F member 1	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005524	/Reference/detail/?v=HBREF005524	31672514	https://pubmed.ncbi.nlm.nih.gov/31672514/	Quercetin as a Lyn kinase inhibitor inhibits IgE-mediated allergic conjunctivitis	suppress/inhibitor	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
HBIN041495	Quercetin	HBTAR000528	CAT	catalase	HERB_detail.drug_paper_target	literature_mined_pubmed_sentence		HBREF005543	/Reference/detail/?v=HBREF005543	33050645	https://pubmed.ncbi.nlm.nih.gov/33050645/	Quercetin Intervention Alleviates Offspring's Oxidative Stress, Inflammation, and Tight Junction Damage in the Colon Induced by Maternal Fine Particulate Matter (PM2.5) Exposure through the Reduction of Bacteroides	upregulate/increase	Grade C	redacted_public_package	no	no	priority_for_lincs_mapping	17.0
