tissue_assignment	celltype	gene_symbol	n_diseased_samples	n_healthy_samples	diseased_cells	healthy_cells	mean_log1p_cpm_diseased	mean_log1p_cpm_healthy	delta_log1p_cpm_diseased_minus_healthy	p_log1p_cpm_mannwhitney	mean_detection_diseased	mean_detection_healthy	delta_detection_diseased_minus_healthy	p_detection_mannwhitney
R	B:B10	SH3KBP1	5	3	63	37	0.066108	0.177875	-0.111767	0.203872	0.0333334	0.139881	-0.106547	0.112231
R	B:B10	SMAD3	5	3	63	37	0	0	0	1	0	0	0	1
R	B:B10	SOD1	5	3	63	37	0.467086	0.493536	-0.0264501	0.25	0.357576	0.324405	0.0331709	0.548595
R	B:B10	STAT3	5	3	63	37	0.251119	0.232006	0.0191123	1	0.186147	0.160714	0.0254329	0.880791
R	B:B10	STAT5A	5	3	63	37	0.0131596	0.123005	-0.109845	0.171857	0.0095238	0.119048	-0.109524	0.171857
R	B:B10	SYK	5	3	63	37	0.081977	0.143715	-0.0617383	1	0.0787878	0.119048	-0.0402598	1
R	B:B10	TLR4	5	3	63	37	0.00809184	0	0.00809184	0.605577	0.0060606	0	0.0060606	0.605577
R	B:B10	TNF	5	3	63	37	0.015869	0	0.015869	0.605577	0.0060606	0	0.0060606	0.605577
R	B:B11	ACTA2	7	4	50	56	0	0.0433567	-0.0433567	0.256839	0	0.03125	-0.03125	0.256839
R	B:B11	AHR	7	4	50	56	0	0.086686	-0.086686	0.0162344	0	0.0827703	-0.0827703	0.015844
R	B:B11	AKT1	7	4	50	56	0.012311	0.0303491	-0.0180381	0.279421	0.00952381	0.0380067	-0.0284829	0.279421
R	B:B11	ARNTL	7	4	50	56	0.012311	0	0.012311	0.57075	0.00952381	0	0.00952381	0.57075
R	B:B11	BCL6	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	BECN1	7	4	50	56	0.0531497	0.100642	-0.0474922	0.275654	0.0435374	0.0962838	-0.0527464	0.196505
R	B:B11	BLNK	7	4	50	56	0.555641	0.341241	0.2144	0.230303	0.482993	0.282658	0.200336	0.251381
R	B:B11	BRD4	7	4	50	56	0.120231	0.147154	-0.0269228	0.33347	0.0911564	0.147804	-0.0566476	0.439098
R	B:B11	CAT	7	4	50	56	0.0699507	0.198218	-0.128267	0.216269	0.055102	0.134854	-0.0797515	0.216269
R	B:B11	CD4	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	CD86	7	4	50	56	0.0234284	0.0585886	-0.0351602	0.279421	0.0204081	0.0447635	-0.0243554	0.400202
R	B:B11	CREB1	7	4	50	56	0.278808	0.0567874	0.222021	0.487857	0.233333	0.0447635	0.18857	0.487857
R	B:B11	CTNNB1	7	4	50	56	0.0703251	0.0585886	0.0117365	0.742667	0.047619	0.0760135	-0.0283945	0.584238
R	B:B11	DNMT1	7	4	50	56	0.129857	0.107426	0.0224319	0.30281	0.109524	0.11402	-0.00449642	0.30281
R	B:B11	FOXP3	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	GABPA	7	4	50	56	0.012194	0.0152318	-0.00303788	0.888539	0.0102041	0.0135135	-0.00330944	0.888539
R	B:B11	HIF1A	7	4	50	56	0.152219	0.0937614	0.0584573	0.698861	0.102041	0.089527	0.0125139	1
R	B:B11	HMOX1	7	4	50	56	0.017311	0.0226171	-0.00530615	0.888539	0.0142857	0.03125	-0.0169643	0.67415
R	B:B11	ICAM1	7	4	50	56	0.096436	0.0295888	0.0668473	1	0.0707482	0.027027	0.0437212	1
R	B:B11	IFNG	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	IL15	7	4	50	56	0.0808056	0.0522059	0.0285997	0.400202	0.0714286	0.058277	0.0131516	0.400202
R	B:B11	IL1B	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	IL7	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	ITGAM	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	ITGAX	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	JAK1	7	4	50	56	0.330975	0.475921	-0.144946	0.297517	0.30136	0.324887	-0.0235268	0.632709
R	B:B11	LYZ	7	4	50	56	0	0.0415555	-0.0415555	0.256839	0	0.03125	-0.03125	0.256839
R	B:B11	MAFB	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	MAP1LC3B	7	4	50	56	0.391576	0.268624	0.122952	0.504431	0.341497	0.206644	0.134853	0.339155
R	B:B11	MAPK14	7	4	50	56	0.017311	0.0640688	-0.0467578	0.279421	0.0142857	0.0515203	-0.0372346	0.279421
R	B:B11	NFKB1	7	4	50	56	0.0236447	0.153687	-0.130042	0.062815	0.0190476	0.169764	-0.150716	0.10067
R	B:B11	NLRP3	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	OSM	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	PARP1	7	4	50	56	0.469634	0.468585	0.0010495	0.849769	0.383673	0.393581	-0.00990757	0.849429
R	B:B11	PIAS1	7	4	50	56	0.269414	0.322291	-0.0528771	0.507365	0.262585	0.28688	-0.0242955	0.44762
R	B:B11	PKM	7	4	50	56	0.476549	0.299229	0.177319	0.343605	0.389116	0.268581	0.120535	0.44762
R	B:B11	PRKAA1	7	4	50	56	0.121545	0.0723044	0.0492406	1	0.106122	0.0785472	0.0275752	0.917929
R	B:B11	PTGS2	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	RELA	7	4	50	56	0.034145	0.0794045	-0.0452595	0.154813	0.0285714	0.0760135	-0.0474421	0.153553
R	B:B11	SH3KBP1	7	4	50	56	0.170983	0.037849	0.133134	0.757224	0.191837	0.0447635	0.147073	0.757224
R	B:B11	SMAD3	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	SOD1	7	4	50	56	0.611127	0.715877	-0.10475	0.927273	0.558503	0.538288	0.020215	1
R	B:B11	STAT3	7	4	50	56	0.208559	0.296348	-0.0877884	0.39075	0.201361	0.259854	-0.058493	0.152594
R	B:B11	STAT5A	7	4	50	56	0	0.0226171	-0.0226171	0.256839	0	0.03125	-0.03125	0.256839
R	B:B11	SYK	7	4	50	56	0.125689	0.199259	-0.0735696	0.439098	0.0768708	0.123311	-0.04644	0.436906
R	B:B11	TLR4	7	4	50	56	0	0	0	1	0	0	0	1
R	B:B11	TNF	7	4	50	56	0.0236447	0	0.0236447	0.57075	0.00952381	0	0.00952381	0.57075
R	B:B12	ACTA2	6	4	39	84	0	0	0	1	0	0	0	1
